"Reference code","Product ID","Product name","Quantity","Pre-tax retail price","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Combinations Impact on price (pre-tax)","Combinations (Attribute - value pair)","Combinations Impact on weight","Show price","Pre-tax wholesale price","Unit price (per)","Unit price (tax excl.)","Specific Price ID_1","Specific price Starting at (unit)_1","Specific price Group ID_1"
"A16055-2","702","Ltd Edition - Abundance","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1650","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A16055-2","702","Ltd Edition - Abundance","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1651","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A16055-2","702","Ltd Edition - Abundance","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1652","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A13041-2","703","Ltd Edition - Lapinx","4","0.00","6"" x 18""","11.75"" x 23.875""","99","","1917","155.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A13041-2","703","Ltd Edition - Lapinx","0","0.00","6"" x 18""","11.75"" x 23.875""","99","","1918","320.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A13041-2","703","Ltd Edition - Lapinx","0","0.00","6"" x 18""","11.75"" x 23.875""","99","","1919","320.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A13041-2","703","Ltd Edition - Lapinx","0","0.00","6"" x 18""","11.75"" x 23.875""","99","","1920","320.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A13056-2","705","Ltd Edition - Otherness","2","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","1877","140.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A13056-2","705","Ltd Edition - Otherness","0","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","1878","305.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A13056-2","705","Ltd Edition - Otherness","0","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","1879","305.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A13056-2","705","Ltd Edition - Otherness","0","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","1880","305.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A16051-2","707","Ltd Edition - Northern Keepers","2","0.00","10.25"" x 13.25""","16"" x 20""","99","","1521","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A16051-2","707","Ltd Edition - Northern Keepers","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1522","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A16051-2","707","Ltd Edition - Northern Keepers","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1523","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A16051-2","707","Ltd Edition - Northern Keepers","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1524","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A16058-2","709","Ltd Edition - Silent Seekers","3","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","1881","140.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A16058-2","709","Ltd Edition - Silent Seekers","0","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","1882","305.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A16058-2","709","Ltd Edition - Silent Seekers","0","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","1883","305.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A16058-2","709","Ltd Edition - Silent Seekers","0","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","1884","305.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A95053-2","711","Ltd Edition - Messenger","4","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","1893","140.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A95053-2","711","Ltd Edition - Messenger","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","1894","305.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A95053-2","711","Ltd Edition - Messenger","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","1895","305.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A95053-2","711","Ltd Edition - Messenger","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","1896","305.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A14051-2","712","Ltd Edition - Gezaluwejit","2","0.00","10.25"" x 13.25""","16"" x 20""","99","","1529","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A14051-2","712","Ltd Edition - Gezaluwejit","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1530","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A14051-2","712","Ltd Edition - Gezaluwejit","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1531","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A14051-2","712","Ltd Edition - Gezaluwejit","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1532","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W13047-2","714","Ltd Edition - Inner Memories","5","0.00","13.25"" x 10.25""","20"" x 16""","99","","1753","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"W13047-2","714","Ltd Edition - Inner Memories","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1754","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W13047-2","714","Ltd Edition - Inner Memories","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1755","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W13047-2","714","Ltd Edition - Inner Memories","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1756","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01038-2","719","Ltd Edition - Harmony","2","0.00","13.25"" x 10.25""","20"" x 16""","99","","1930","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A01038-2","719","Ltd Edition - Harmony","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1931","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01038-2","719","Ltd Edition - Harmony","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1932","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01038-2","719","Ltd Edition - Harmony","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","1933","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A13042-2","721","Ltd Edition - Carried Away","2","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","1897","140.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A13042-2","721","Ltd Edition - Carried Away","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","1898","305.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A13042-2","721","Ltd Edition - Carried Away","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","1899","305.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A13042-2","721","Ltd Edition - Carried Away","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","1900","305.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A09006-1","741","Canvas - River Keeper","0","0.00","15"" x 24""","","","","1854","495.00","Frame Options - Wood floater frame black","0.00","1","0.00","","0.00","","",""
"A09006-1","741","Canvas - River Keeper","0","0.00","15"" x 24""","","","","1855","495.00","Frame Options - Wood floater frame brown","0.00","1","0.00","","0.00","","",""
"A09006-1","741","Canvas - River Keeper","0","0.00","15"" x 24""","","","","1856","495.00","Frame Options - Wood floater frame pewter","0.00","1","0.00","","0.00","","",""
"A09006-1","741","Canvas - River Keeper","1","0.00","15"" x 24""","","","","8134","315.00","Frame Options - Without frame 15"" x 24""","0.00","1","0.00","","0.00","","",""
"A09006-1","741","Canvas - River Keeper","0","0.00","15"" x 24""","","","","8135","695.00","Frame Options - Without frame 30"" x 48""","0.00","1","0.00","","0.00","","",""
"A09006-1","741","Canvas - River Keeper","1","0.00","15"" x 24""","","","","9712","695.00","Frame Options - Without frame 29"" x 48""","0.00","1","0.00","","0.00","","",""
"A16052-1","766","Canvas - Zenith","0","0.00","6"" x 36""","","","","1866","345.00","Frame Options - Wood floater frame black","0.00","1","0.00","","0.00","","",""
"A16052-1","766","Canvas - Zenith","0","0.00","6"" x 36""","","","","1867","345.00","Frame Options - Wood floater frame brown","0.00","1","0.00","","0.00","","",""
"A16052-1","766","Canvas - Zenith","0","0.00","6"" x 36""","","","","1868","345.00","Frame Options - Wood floater frame pewter","0.00","1","0.00","","0.00","","",""
"A16052-1","766","Canvas - Zenith","0","0.00","6"" x 36""","","","","9715","245.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A17065-POD2578","781","Card - The Forest Temple","7","6.35","","","","6"" x 9""","","0.00","Card - The Forest Temple","0.00","1","2.40","","0.00","","",""
"A17063-POD2550","782","Card - Depth","4","6.35","","","","6"" x 9""","","0.00","Card - Depth","0.00","1","2.40","","0.00","","",""
"W17062-7","783","Card - Horizon","8","5.50","","","","5"" x 7""","","0.00","Card - Horizon","0.00","1","2.40","","0.00","","",""
"A17064-POD2563","784","Card - M'Otter love","3","6.35","","","","6"" x 9""","","0.00","Card - M'Otter love","0.00","1","2.40","","0.00","","",""
"W17062-6","786","Small Print - Horizon","16","25.00","","8"" x 10""","","","","0.00","Small Print - Horizon","0.00","1","0.00","","0.00","","",""
"A17065-6","788","Small Print - The Forest Temple","10","25.00","","8"" x 10""","","","","0.00","Small Print - The Forest Temple","0.00","1","0.00","","0.00","","",""
"A08021-7","797","Card - Wikwemikong","9","5.50","","","","5"" x 7""","","0.00","Card - Wikwemikong","0.00","1","2.40","","0.00","","",""
"A09055-7","798","Card - Abundance","14","5.50","","","","5"" x 7""","","0.00","Card - Abundance","0.00","1","2.40","","0.00","","",""
"W18053-7-POD2883","799","Card - Northern Masters","8","6.35","","","","6"" x 9""","","0.00","Card - Northern Masters","0.00","1","2.40","","0.00","","",""
"W18053-6","800","Small Print - Northern Masters","4","25.00","","8"" x 10""","","","","0.00","Small Print - Northern Masters","0.00","1","0.00","","0.00","","",""
"W18053-2","801","Ltd Edition - Northern Masters","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1316","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W18053-2","801","Ltd Edition - Northern Masters","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1317","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W18053-2","801","Ltd Edition - Northern Masters","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1318","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"W18053-2","801","Ltd Edition - Northern Masters","3","0.00","10.25"" x 13.25""","16"" x 20""","99","","1319","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A20067-2","4079","Ltd Edition - All my Relations","3","0.00","13.25"" x 10.25""","20"" x 16""","99","","7699","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A20067-2","4079","Ltd Edition - All my Relations","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","7700","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A20067-2","4079","Ltd Edition - All my Relations","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","7701","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A20067-2","4079","Ltd Edition - All my Relations","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","7702","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A20067-POD2580","4080","Card - All my Relations","16","6.35","","","","9"" x 6""","","0.00","Card - All my Relations","0.00","1","2.40","","0.00","","",""
"A20067-6","4081","Small Print - All my Relations","11","25.00","","10"" x 8""","","","","0.00","Small Print - All my Relations","0.00","1","0.00","","0.00","","",""
"A19054-2","4082","Ltd Edition - Footprint","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","7703","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A19054-2","4082","Ltd Edition - Footprint","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","7704","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A19054-2","4082","Ltd Edition - Footprint","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","7705","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A19054-2","4082","Ltd Edition - Footprint","2","0.00","13.25"" x 10.25""","20"" x 16""","99","","7706","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A19054-7","4083","Card - Footprint","8","5.50","","","","7"" x 5""","","0.00","Card - Footprint","0.00","1","2.40","","0.00","","",""
"A19054-6","4088","Small Print - Footprint","17","25.00","","10"" x 8""","","","","0.00","Small Print - Footprint","0.00","1","0.00","","0.00","","",""
"A18062-7","4126","Card - Humility","11","5.50","","","","5"" x 7""","","0.00","Card - Humility","0.00","1","2.40","","0.00","","",""
"A18062-6","4127","Small Print - Humility","13","25.00","","8"" x 10""","","","","0.00","Small Print - Humility","0.00","1","0.00","","0.00","","",""
"A18062-2","4129","Ltd Edition - Humility","0","0.00","12” x 12”","17.75” 17.875”","99","","7729","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A18062-2","4129","Ltd Edition - Humility","0","0.00","12” x 12”","17.75” 17.875”","99","","7730","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A18062-2","4129","Ltd Edition - Humility","0","0.00","12” x 12”","17.75” 17.875”","99","","7731","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A18062-2","4129","Ltd Edition - Humility","2","0.00","12” x 12”","17.75” 17.875”","99","","7732","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A20055-2","4148","Ltd Edition - Refuge","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","7809","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A20055-2","4148","Ltd Edition - Refuge","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","7810","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A20055-2","4148","Ltd Edition - Refuge","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","7811","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A20055-2","4148","Ltd Edition - Refuge","4","0.00","13.25"" x 10.25""","20"" x 16""","99","","7812","155.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A18061-2","4149","Ltd Edition - Seed of Life","0","0.00","12” x 12”","17.75” 17.875”","99","","7813","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A18061-2","4149","Ltd Edition - Seed of Life","0","0.00","12” x 12”","17.75” 17.875”","99","","7814","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A18061-2","4149","Ltd Edition - Seed of Life","0","0.00","12” x 12”","17.75” 17.875”","99","","7815","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A18061-2","4149","Ltd Edition - Seed of Life","2","0.00","12” x 12”","17.75” 17.875”","99","","7816","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A18066-2","4150","Ltd Edition - Under the Same Sky","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","7817","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A18066-2","4150","Ltd Edition - Under the Same Sky","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","7818","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A18066-2","4150","Ltd Edition - Under the Same Sky","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","7819","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A18066-2","4150","Ltd Edition - Under the Same Sky","2","0.00","13.25"" x 10.25""","20"" x 16""","99","","7820","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A20055-POD2571","4156","Card - Refuge","23","6.35","","","","9"" x 6""","","0.00","Card - Refuge","0.00","1","2.40","","0.00","","",""
"A18061-POD2573","4157","Card - Seed of Life","14","6.35","","","","6"" x 9""","","0.00","Card - Seed of Life","0.00","1","2.40","","0.00","","",""
"A18066-POD2885","4161","Card - Under the Same Sky","4","6.35","","","","9"" x 6""","","0.00","Card - Under the Same Sky","0.00","1","2.40","","0.00","","",""
"A18061-6","4170","Small Print - Seed of Life","3","25.00","","8"" x 10""","","","","0.00","Small Print - Seed of Life","0.00","1","0.00","","0.00","","",""
"A18066-6","4171","Small Print - Under the Same Sky","5","25.00","","10"" x 8""","","","","0.00","Small Print - Under the Same Sky","0.00","1","0.00","","0.00","","",""
"A08021-6","4173","Small Print - Wikwemikong","7","25.00","","8"" x 10""","","","","0.00","Small Print - Wikwemikong","0.00","1","0.00","","0.00","","",""
"A09010-6","4174","Small Print - Kouragimut","3","25.00","","8"" x 10""","","","","0.00","Small Print - Kouragimut","0.00","1","0.00","","0.00","","",""
"A01033-7","5389","Card - New Fire","81","5.50","","","","5"" x 7""","","0.00","Card - New Fire","0.00","1","2.40","","0.00","","",""
"BOX250","8741","Women Strength","4","21.45","","","","","","0.00","Women Strength","0.00","1","0.00","","0.00","","",""
"W12017-POD2576","13550","Card - Synchronicity","10","6.35","","","","6"" x 9""","","0.00","Card - Synchronicity","0.00","1","2.40","","0.00","","",""
"A13041-POD2583","13551","Card - Lapinx","3","6.35","","","","6"" x 9""","","0.00","Card - Lapinx","0.00","1","2.40","","0.00","","",""
