"Reference code","Product ID","Product name","Quantity","Pre-tax retail price","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Combinations Impact on price (pre-tax)","Combinations (Attribute - value pair)","Combinations Impact on weight","Show price","Pre-tax wholesale price","Unit price (per)","Unit price (tax excl.)","Specific Price ID_1","Specific price Starting at (unit)_1","Specific price Group ID_1"
"W12018-POD2551","113","Card - Early Evening Flowing Into Fall","8","6.35","","","","9"" x 6""","","0.00","Card - Early Evening Flowing Into Fall","0.00","1","2.40","","0.00","","",""
"A00048-7-POD2884","251","Card - The Protector","13","6.35","","","","6"" x 9""","","0.00","Card - The Protector","0.00","1","2.40","","0.00","","",""
"A01003-POD2575","257","Card - Sky Girl","9","6.35","","","","6"" x 9""","","0.00","Card - Sky Girl","0.00","1","2.40","","0.00","","",""
"A04060-20083","262","Card - Passing Through","9","6.35","","","","6"" x 9""","","0.00","Card - Passing Through","0.00","1","2.40","","0.00","","",""
"A09054-20087","268","Card - Tranquility","5","6.35","","","","6"" x 9""","","0.00","Card - Tranquility","0.00","1","2.40","","0.00","","",""
"A10044-POD2572","285","Card - The Return","11","6.35","","","","6"" x 9""","","0.00","Card - The Return","0.00","1","2.40","","0.00","","",""
"A13056-7","290","Card - Otherness","6","5.50","","","","7"" x 5""","","0.00","Card - Otherness","0.00","1","2.40","","0.00","","",""
"A13057-POD2567","294","Card - Origins","13","6.35","","","","6"" x 9""","","0.00","Card - Origins","0.00","1","2.40","","0.00","","",""
"A16051-POD2566","299","Card - Northern Keepers","8","6.35","","","","6"" x 9""","","0.00","Card - Northern Keepers","0.00","1","2.40","","0.00","","",""
"A16052-POD2586","304","Card - Zenith","11","6.35","","","","6"" x 9""","","0.00","Card - Zenith","0.00","1","2.40","","0.00","","",""
"A95053-20081","315","Card - Messenger","10","6.35","","","","6"" x 9""","","0.00","Card - Messenger","0.00","1","2.40","","0.00","","",""
"A14051-POD2554","318","Card - Gezaluwejit","8","6.35","","","","6"" x 9""","","0.00","Card - Gezaluwejit","0.00","1","2.40","","0.00","","",""
"W13026-7","321","Card - In Her World","17","5.50","","","","7"" x 5""","","0.00","Card - In Her World","0.00","1","2.40","","0.00","","",""
"W13047-POD2560","324","Card - Inner Memories","8","6.35","","","","9"" x 6""","","0.00","Card - Inner Memories","0.00","1","2.40","","0.00","","",""
"A11052-7","331","Card - Curiously","6","5.50","","","","5"" x 7""","","0.00","Card - Curiously","0.00","1","2.40","","0.00","","",""
"A12050-POD2559","332","Card - Ice Dream","2","6.35","","","","9"" x 6""","","0.00","Card - Ice Dream","0.00","1","2.40","","0.00","","",""
"W13027-7","335","Card - Playing With Shadows","8","5.50","","","","7"" x 5""","","0.00","Card - Playing With Shadows","0.00","1","2.40","","0.00","","",""
"W13053-20086","338","Card - Roots Of Another World","11","6.35","","","","9"" x 6""","","0.00","Card - Roots Of Another World","0.00","1","2.40","","0.00","","",""
"A01038-7","341","Card - Harmony","31","5.50","","","","7"" x 5""","","0.00","Card - Harmony","0.00","1","2.40","","0.00","","",""
"A01040-7","344","Card - Sharing","44","5.50","","","","5"" x 7""","","0.00","Card - Sharing","0.00","1","2.40","","0.00","","",""
"A13042-POD2549","347","Card - Carried Away","5","6.35","","","","6"" x 9""","","0.00","Card - Carried Away","0.00","1","2.40","","0.00","","",""
"W13023-POD2887","350","Card - Water and Spirit Buffalo","16","6.35","","","","9"" x 6""","","0.00","Card - Water and Spirit Buffalo","0.00","1","2.40","","0.00","","",""
"A01030-6","607","Small Print - Eagle Moon","4","25.00","","8"" x 10""","","","","0.00","Small Print - Eagle Moon","0.00","1","0.00","","0.00","","",""
"A01031-6","609","Small Print - Honoring the Giver of Life","23","25.00","","8"" x 10""","","","","0.00","Small Print - Honoring the Giver of Life","0.00","1","0.00","","0.00","","",""
"A01032-6","610","Small Print - Moon Wisdom","11","25.00","","8"" x 10""","","","","0.00","Small Print - Moon Wisdom","0.00","1","0.00","","0.00","","",""
"A01033-6","611","Small Print - New Fire","5","25.00","","8"" x 10""","","","","0.00","Small Print - New Fire","0.00","1","0.00","","0.00","","",""
"A01036-6","612","Small Print - Teachings","9","25.00","","8"" x 10""","","","","0.00","Small Print - Teachings","0.00","1","0.00","","0.00","","",""
"A01037-6","615","Small Print - Trust","8","25.00","","8"" x 10""","","","","0.00","Small Print - Trust","0.00","1","0.00","","0.00","","",""
"A08011-6","616","Small Print - Whisper","2","25.00","","8"" x 10""","","","","0.00","Small Print - Whisper","0.00","1","0.00","","0.00","","",""
