"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)"
"","10282","Power Stones","9071","0","3.95"
"","10282","Power Stones","9072","5","3.95"
"","10282","Power Stones","9073","6","3.95"
"","10282","Power Stones","9074","8","3.95"
"","10282","Power Stones","9075","8","3.95"
"DC1701-PX12","10285","Birthstone Pendant","9076","8","10.95"
"DC1701-PX12","10285","Birthstone Pendant","9077","10","10.95"
"DC1701-PX12","10285","Birthstone Pendant","9078","8","10.95"
"DC1701-PX12","10285","Birthstone Pendant","9079","10","10.95"
"DC1701-PX12","10285","Birthstone Pendant","9080","8","10.95"
"DC1701-PX12","10285","Birthstone Pendant","9081","9","10.95"
"DC1701-PX12","10285","Birthstone Pendant","9082","7","10.95"
"DC1701-PX12","10285","Birthstone Pendant","9083","10","10.95"
"DC1701-PX12","10285","Birthstone Pendant","9084","12","10.95"
"DC1701-PX12","10285","Birthstone Pendant","9085","10","10.95"
"DC1701-PX12","10285","Birthstone Pendant","9086","12","10.95"
"DC1701-PX12","10285","Birthstone Pendant","9087","12","10.95"
"MM13","10297","Key Chain","9088","3","8.95"
"MM13","10297","Key Chain","9089","2","8.95"
"MM13","10297","Key Chain","9090","3","8.95"
"MM13","10297","Key Chain","9091","7","8.95"
"MM13","10297","Key Chain","9092","3","8.95"
"MM13","10297","Key Chain","9093","6","8.95"
"Fab-12A","10303","12A Bowl Mini","","4","15.00"
"Fab-15A","10308","15A Shield of Protection (Small)","","15","35.00"
"DC420/1.5""X6","10359","DC420/1.5""X6","9105","0","8.95"
"DC420/1.5""X6","10359","DC420/1.5""X6","9107","0","8.95"
"DC420/1.5""X6","10359","DC420/1.5""X6","9108","10","8.95"
"DC420/1.5""X6","10359","DC420/1.5""X6","9109","0","8.95"
"DC420/1.5""X6","10359","DC420/1.5""X6","9110","0","8.95"
"DC420/1.5""X6","10359","DC420/1.5""X6","9216","9","8.95"
"DC421/2""X3","10360","DC421/2""X3","9111","1","11.95"
"DC421/2""X3","10360","DC421/2""X3","9112","2","11.95"
"DC421/2""X3","10360","DC421/2""X3","9113","0","11.95"
"DC422/2.5""X3","10361","DC422/2.5""","9114","0","13.95"
"DC422/2.5""X3","10361","DC422/2.5""","9115","0","13.95"
"DC422/2.5""X3","10361","DC422/2.5""","9116","0","13.95"
"DC422/2.5""X3","10361","DC422/2.5""","9215","7","13.95"
"DC422/2.5""X3","10361","DC422/2.5""","9217","2","13.95"
"DC140","10362","DC140","9210","0","9.95"
"DC140","10362","DC140","9211","3","9.95"
"DC140","10362","DC140","9213","4","9.95"
"AFx12","10430","Answer Feathers","9275","4","3.95"
"AFx12","10430","Answer Feathers","9276","6","3.95"
"AFx12","10430","Answer Feathers","9277","2","3.95"
"AFx12","10430","Answer Feathers","9278","5","3.95"
"AFx12","10430","Answer Feathers","9279","11","3.95"
"AFx12","10430","Answer Feathers","9280","9","3.95"
"AFx12","10430","Answer Feathers","9281","4","3.95"
"AFx12","10430","Answer Feathers","9282","3","3.95"
"AFx12","10430","Answer Feathers","9283","5","3.95"
"AFx12","10430","Answer Feathers","9284","2","3.95"
"AFx12","10430","Answer Feathers","9285","4","3.95"
"AFx12","10430","Answer Feathers","9286","6","3.95"
