"Product name","Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"Felicia ""Honoring the Giver of Life""","A01031-WDR3801NC0XA","Felicia ""Rendre Grâce"" : Taille - P;Felicia ""Rendre Grâce"" : Taille - M;Felicia ""Rendre Grâce"" : Taille - L;Felicia ""Rendre Grâce"" : Taille - XL;Felicia ""Rendre Grâce"" : Taille - XP","0;0;0;0;0","62.00","149.00","8337;8338;8339;8340;8341","8970"
"Felicia ""Depth""","A17063-WDR3801NC02A","Felicia ""Profondeur"" : Taille - P;Felicia ""Profondeur"" : Taille - M;Felicia ""Profondeur"" : Taille - L;Felicia ""Profondeur"" : Taille - XL;Felicia ""Profondeur"" : Taille - XP","0;0;0;0;0","62.00","149.00","8342;8343;8344;8345;8346","8971"
"Amanda II ""Earth Keeper""","W12005-WDR4001NC0WA","Amanda II ""Gardienne de la Terre"" : Taille - XP;Amanda II ""Gardienne de la Terre"" : Taille - P;Amanda II ""Gardienne de la Terre"" : Taille - M;Amanda II ""Gardienne de la Terre"" : Taille - L;Amanda II ""Gardienne de la Terre"" : Taille - XL","0;0;0;0;0","50.00","119.00","8347;8348;8349;8350;8351","8973"
"Amanda II ""Refuge""","W20055-WDR4001NC0YA","Taille - P;Taille - M;Taille - L;Taille - XL;Taille - XP","0;0;0;0;0","50.00","119.00","8352;8353;8354;8355;8356","8974"
"Amanda II ""Honoring the Giver of Life""","W01031-WDR4001NC0XA","Amanda II ""Hommage à la Source de Vie"" : Taille - P;Amanda II ""Hommage à la Source de Vie"" : Taille - M;Amanda II ""Hommage à la Source de Vie"" : Taille - L;Amanda II ""Hommage à la Source de Vie"" : Taille - XL;Amanda II ""Hommage à la Source de Vie"" : Taille - XP","0;0;0;0;0","50.00","119.00","8357;8358;8359;8360;8361","8975"
"Felicia ""Gezaluwejit""","A14051-WDR3801NC0TA","Taille - P;Taille - M;Taille - L;Taille - XL;Taille - XP","0;0;0;0;0","62.00","149.00","8362;8363;8364;8365;8366","8976"
"Daniela Maxi ""Gezaluwejit""","A14051-WDR4201NC0TA","Taille - XP;Taille - P;Taille - M;Taille - L;Taille - XL","0;0;0;0;0","89.00","199.00","8367;8368;8369;8370;8371","8977"
"Daniela Maxi ""Under the Same Sky""","A18066-WDR4201NC0UA","Daniela Maxi ""Sous le Même Ciel"" : Taille - P;Daniela Maxi ""Sous le Même Ciel"" : Taille - M;Daniela Maxi ""Sous le Même Ciel"" : Taille - L;Daniela Maxi ""Sous le Même Ciel"" : Taille - XL;Daniela Maxi ""Sous le Même Ciel"" : Taille - XP","0;0;0;0;0","89.00","199.00","8372;8373;8374;8375;8376","8978"
"Olivia Dress ""Earth Keeper""","A12005-WDR4501NC0WA","Robe Olivia ""Gardienne de la Terre"" : Taille - XP;Robe Olivia ""Gardienne de la Terre"" : Taille - P;Robe Olivia ""Gardienne de la Terre"" : Taille - M;Robe Olivia ""Gardienne de la Terre"" : Taille - L;Robe Olivia ""Gardienne de la Terre"" : Taille - XL","0;0;0;0;0","76.00","159.00","8482;8483;8484;8485;8486","9049"
"Kate Dress ""Water and Spirit Buffalo at Sunset""","W13023-WDR2601NC11A","Robe Kate ""Eau et Esprit du Bison au Soleil Couchant"" : Taille - P;Robe Kate ""Eau et Esprit du Bison au Soleil Couchant"" : Taille - M;Robe Kate ""Eau et Esprit du Bison au Soleil Couchant"" : Taille - L;Robe Kate ""Eau et Esprit du Bison au Soleil Couchant"" : Taille - XL;Robe Kate ""Eau et Esprit du Bison au Soleil Couchant"" : Taille - XP","0;0;0;0;0","64.50","169.00","8603;8604;8605;8606;8607","9860"
"Kate Dress ""Rebirth""","A04015-WDR2601NC14A","Robe Kate ""Renaissance"" : Taille - P;Robe Kate ""Renaissance"" : Taille - M;Robe Kate ""Renaissance"" : Taille - L;Robe Kate ""Renaissance"" : Taille - XL;Robe Kate ""Renaissance"" : Taille - XP","0;0;0;0;0","64.50","169.00","8608;8609;8610;8611;8612","9861"
"Felicia ""Water and Spirit Buffalo at Moonrise""","W13023-WDR3801NC12A","Felicia ""Eau et Esprit du Bison à l'Éveil de la Lune"" : Taille - P;Felicia ""Eau et Esprit du Bison à l'Éveil de la Lune"" : Taille - M;Felicia ""Eau et Esprit du Bison à l'Éveil de la Lune"" : Taille - L;Felicia ""Eau et Esprit du Bison à l'Éveil de la Lune"" : Taille - XL;Felicia ""Eau et Esprit du Bison à l'Éveil de la Lune"" : Taille - XP","0;0;0;0;0","62.00","149.00","8618;8619;8620;8621;8622","9863"
