"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Unit price (tax excl.)","Unit price (per)"
"6080-0400-41IND-648","1414","Suede Slippers for Men","7343","Shoe Size - 14","0","125.00","54.30","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","7344","Shoe Size - 15","0","125.00","54.30","0.00",""
"989","1426","Suede Moccasins for Men","6379","Shoe Size - 8","2","109.00","59.00","0.00",""
"989","1426","Suede Moccasins for Men","6380","Shoe Size - 9","0","109.00","59.00","0.00",""
"989","1426","Suede Moccasins for Men","7371","Shoe Size - 4","0","109.00","59.00","0.00",""
"989","1426","Suede Moccasins for Men","7372","Shoe Size - 5","0","109.00","59.00","0.00",""
"989","1426","Suede Moccasins for Men","7373","Shoe Size - 6","0","109.00","59.00","0.00",""
"989","1426","Suede Moccasins for Men","7374","Shoe Size - 7","0","109.00","59.00","0.00",""
"989","1426","Suede Moccasins for Men","7375","Shoe Size - 10","0","109.00","59.00","0.00",""
"989","1426","Suede Moccasins for Men","7532","Shoe Size - 11","1","109.00","59.00","0.00",""
"989","1426","Suede Moccasins for Men","7533","Shoe Size - 12","0","109.00","59.00","0.00",""
"989","1426","Suede Moccasins for Men","7534","Shoe Size - 13","0","109.00","59.00","0.00",""
"186/8","3162","Leather Moccasins for Men","6870","Shoe Size - 12","0","103.00","55.00","0.00",""
"186/8","3162","Leather Moccasins for Men","6872","Shoe Size - 10","0","103.00","55.00","0.00",""
"186/8","3162","Leather Moccasins for Men","7445","Shoe Size - 6","0","103.00","55.00","0.00",""
"186/8","3162","Leather Moccasins for Men","7446","Shoe Size - 7","0","103.00","55.00","0.00",""
"186/8","3162","Leather Moccasins for Men","7447","Shoe Size - 8","1","103.00","55.00","0.00",""
"186/8","3162","Leather Moccasins for Men","7448","Shoe Size - 9","2","103.00","55.00","0.00",""
"186/8","3162","Leather Moccasins for Men","7449","Shoe Size - 11","0","103.00","55.00","0.00",""
"186/8","3162","Leather Moccasins for Men","7450","Shoe Size - 13","1","103.00","55.00","0.00",""
"186/8","3162","Leather Moccasins for Men","7451","Shoe Size - 14","0","113.00","55.00","0.00",""
"186/8","3162","Leather Moccasins for Men","7452","Shoe Size - 15","0","113.00","55.00","0.00",""
"B442","3554","Leather Moccasins for Men","7008","Shoe Size - 10","0","96.00","0.00","0.00",""
