"Reference code","Product name","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product ID","Product Combinations ID"
"A01028-WBL0301NC08A","Frida Cardigan ""Giving Thanks""","Cardigan Frida ""Rendre Grâce"" : Taille - L","0","52.50","129.00","1010","2980"
"A01028-WBL0301NC08A","Frida Cardigan ""Giving Thanks""","Cardigan Frida ""Rendre Grâce"" : Taille - XL","0","52.50","129.00","1010","2981"
"A16051-WBL0301NC05A","Frida Cardigan ""Northern Keepers""","Cardigan Frida ""Gardiens du Nord"" : Taille - XP","0","52.50","129.00","1012","2982"
"A16051-WBL0301NC05A","Frida Cardigan ""Northern Keepers""","Cardigan Frida ""Gardiens du Nord"" : Taille - P","0","52.50","129.00","1012","2983"
"A16051-WBL0301NC05A","Frida Cardigan ""Northern Keepers""","Cardigan Frida ""Gardiens du Nord"" : Taille - M","0","52.50","129.00","1012","2984"
"A16051-WBL0301NC05A","Frida Cardigan ""Northern Keepers""","Cardigan Frida ""Gardiens du Nord"" : Taille - L","0","52.50","129.00","1012","2985"
"A16051-WBL0301NC05A","Frida Cardigan ""Northern Keepers""","Cardigan Frida ""Gardiens du Nord"" : Taille - XL","0","52.50","129.00","1012","2986"
"A16051-WBL1101NC05A","Nikki Cardigan ""Northern Keepers""","Cardigan Nikki ""Gardiens du Nord"" : Taille - XP","0","50.00","159.00","8844","8289"
"A16051-WBL1101NC05A","Nikki Cardigan ""Northern Keepers""","Cardigan Nikki ""Gardiens du Nord"" : Taille - P","0","50.00","159.00","8844","8290"
"A16051-WBL1101NC05A","Nikki Cardigan ""Northern Keepers""","Cardigan Nikki ""Gardiens du Nord"" : Taille - M","0","50.00","159.00","8844","8291"
"A16051-WBL1101NC05A","Nikki Cardigan ""Northern Keepers""","Cardigan Nikki ""Gardiens du Nord"" : Taille - L","0","50.00","159.00","8844","8292"
"A16051-WBL1101NC05A","Nikki Cardigan ""Northern Keepers""","Cardigan Nikki ""Gardiens du Nord"" : Taille - XL","0","50.00","159.00","8844","8293"
"A18066-WBL1101NC0UA","Nikki Cardigan ""Under the Same Sky""","Cardigan Nikki ""Sous le Même Ciel"" : Taille - XP","0","50.00","159.00","8845","8294"
"A18066-WBL1101NC0UA","Nikki Cardigan ""Under the Same Sky""","Cardigan Nikki ""Sous le Même Ciel"" : Taille - P","0","50.00","159.00","8845","8295"
"A18066-WBL1101NC0UA","Nikki Cardigan ""Under the Same Sky""","Cardigan Nikki ""Sous le Même Ciel"" : Taille - M","0","50.00","159.00","8845","8296"
"A18066-WBL1101NC0UA","Nikki Cardigan ""Under the Same Sky""","Cardigan Nikki ""Sous le Même Ciel"" : Taille - L","0","50.00","159.00","8845","8297"
"A18066-WBL1101NC0UA","Nikki Cardigan ""Under the Same Sky""","Cardigan Nikki ""Sous le Même Ciel"" : Taille - XL","0","50.00","159.00","8845","8298"
"A18019-WBL0301NC13A","Frida Cardigan ""Unity""","Cardigan Frida ""Union"" : Taille - P","0","52.50","129.00","9896","8673"
"A18019-WBL0301NC13A","Frida Cardigan ""Unity""","Cardigan Frida ""Union"" : Taille - M","0","52.50","129.00","9896","8674"
"A18019-WBL0301NC13A","Frida Cardigan ""Unity""","Cardigan Frida ""Union"" : Taille - L","0","52.50","129.00","9896","8675"
"A18019-WBL0301NC13A","Frida Cardigan ""Unity""","Cardigan Frida ""Union"" : Taille - XL","0","52.50","129.00","9896","8676"
"A18019-WBL0301NC13A","Frida Cardigan ""Unity""","Cardigan Frida ""Union"" : Taille - XP","0","52.50","129.00","9896","8677"
"A17063-WBL1101NC02A","Nikki Cardigan ""Depth""","Cardigan Nikki ""Profondeur"" : Taille - P","0","50.00","159.00","12106","9474"
"A17063-WBL1101NC02A","Nikki Cardigan ""Depth""","Cardigan Nikki ""Profondeur"" : Taille - M","0","50.00","159.00","12106","9475"
"A17063-WBL1101NC02A","Nikki Cardigan ""Depth""","Cardigan Nikki ""Profondeur"" : Taille - L","0","50.00","159.00","12106","9476"
