"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Product Combinations ID","Product ID"
"Suede Moccasins for Children","648","","Mocassins en Suède pour Enfants : Pointure - 7","0","32.15","74.00","0.00","10489","14410"
"Suede Moccasins for Children","648","","Mocassins en Suède pour Enfants : Pointure - 8","1","32.15","74.00","0.00","10490","14410"
"Suede Moccasins for Children","648","","Mocassins en Suède pour Enfants : Pointure - 9","0","32.15","74.00","0.00","10491","14410"
"Suede Moccasins for Children","648","","Mocassins en Suède pour Enfants : Pointure - 10","0","32.15","74.00","0.00","10492","14410"
"Moccasins Raven","SKU: 54-54-339","","Mocassins Corbeau : Pointure - 18 mois","1","40.00","92.00","0.00","10496","14444"
"Moccasins Raven","SKU: 54-54-339","","Mocassins Corbeau : Pointure - 24 mois","0","40.00","92.00","0.00","10497","14444"
"Moccasins Raven","SKU: 54-54-339","","Mocassins Corbeau : Pointure - 36 mois","1","40.00","92.00","0.00","10498","14444"
"Suede Moccasins for Juniors","698J","","Mocassins en Suède pour Juniors : Pointure - 11","0","40.70","94.00","0.00","12976","16690"
"Suede Moccasins for Juniors","698J","","Mocassins en Suède pour Juniors : Pointure - 12","0","40.70","94.00","0.00","12977","16690"
"Suede Moccasins for Juniors","698J","","Mocassins en Suède pour Juniors : Pointure - 13","0","40.70","94.00","0.00","12978","16690"
"Suede Moccasins for Juniors","698J","","Mocassins en Suède pour Juniors : Pointure - 1","0","40.70","94.00","0.00","12979","16690"
"Suede Moccasins for Juniors","698J","","Mocassins en Suède pour Juniors : Pointure - 2","0","40.70","94.00","0.00","12980","16690"
"Suede Moccasins for Juniors","698J","","Mocassins en Suède pour Juniors : Pointure - 3","0","40.70","94.00","0.00","12981","16690"
"Suede Moccasins for Babies","658","","Mocassins en Suède pour Bébés : Pointure - 3","2","32.15","74.00","0.00","13278","17241"
"Suede Moccasins for Babies","658","","Mocassins en Suède pour Bébés : Pointure - 4","2","32.15","74.00","0.00","13279","17241"
"Suede Moccasins for Babies","658","","Mocassins en Suède pour Bébés : Pointure - 5","1","32.15","74.00","0.00","13280","17241"
"Suede Moccasins for Babies","658","","Mocassins en Suède pour Bébés : Pointure - 6","2","32.15","74.00","0.00","13281","17241"
"Suede Moccasins for Babies","658","","Mocassins en Suède pour Bébés : Pointure - 2","0","32.15","74.00","0.00","13286","17241"
"Suede Moccasins for Babies","698","","Mocassins en Suède pour Bébés : Pointure - 3","1","32.15","74.00","0.00","13291","17242"
"Suede Moccasins for Babies","698","","Mocassins en Suède pour Bébés : Pointure - 4","2","32.15","74.00","0.00","13292","17242"
"Suede Moccasins for Babies","698","","Mocassins en Suède pour Bébés : Pointure - 5","2","32.15","74.00","0.00","13293","17242"
"Suede Moccasins for Babies","698","","Mocassins en Suède pour Bébés : Pointure - 6","2","32.15","74.00","0.00","13294","17242"
"Suede Moccasins for Babies","698","","Mocassins en Suède pour Bébés : Pointure - 2","0","32.15","74.00","0.00","13295","17242"
"Suede Moccasins for Babies","221","","Mocassins en Suède pour Bébés : Pointure - 2","0","35.00","74.95","0.00","13407","17359"
"Suede Moccasins for Babies","221","","Mocassins en Suède pour Bébés : Pointure - 3","0","35.00","74.95","0.00","13408","17359"
"Suede Moccasins for Babies","221","","Mocassins en Suède pour Bébés : Pointure - 4","0","35.00","74.95","0.00","13409","17359"
"Suede Moccasins for Babies","221","","Mocassins en Suède pour Bébés : Pointure - 5","0","35.00","74.95","0.00","13410","17359"
"Suede Moccasins for Babies","221","","Mocassins en Suède pour Bébés : Pointure - 6","2","35.00","74.95","0.00","13411","17359"
