"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Pre-tax retail price","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","11_FEATURE_Approx. size framed","5_FEATURE_Compositions"
"A10046-2","678","Ltd Edition - Geese Spirit","1726","Frame Options - Black rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A10046-2","678","Ltd Edition - Geese Spirit","1727","Frame Options - Brown rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A10046-2","678","Ltd Edition - Geese Spirit","1728","Frame Options - Grey rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A08045-2","680","Ltd Edition - Patience","1889","Frame Options - Without frame ","2","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","14.25"" x 21.125""",""
"A08045-2","680","Ltd Edition - Patience","1890","Frame Options - Black rustic frame 1""","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","14.25"" x 21.125""",""
"A08045-2","680","Ltd Edition - Patience","1891","Frame Options - Brown rustic frame 1""","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","14.25"" x 21.125""",""
"A08045-2","680","Ltd Edition - Patience","1892","Frame Options - Grey rustic frame 1""","0","0.00","6.75” x 13.5”","12.5” x 19.375”","99","","14.25"" x 21.125""",""
"A09006-2","683","Ltd Edition - River Keeper","1909","Frame Options - Without frame ","4","0.00","8” x 13.5”","13.75” x 19.375”","99","","15.5"" x 21.125""",""
"A09006-2","683","Ltd Edition - River Keeper","1910","Frame Options - Black rustic frame 1""","0","0.00","8” x 13.5”","13.75” x 19.375”","99","","15.5"" x 21.125""",""
"A09006-2","683","Ltd Edition - River Keeper","1911","Frame Options - Brown rustic frame 1""","0","0.00","8” x 13.5”","13.75” x 19.375”","99","","15.5"" x 21.125""",""
"A09006-2","683","Ltd Edition - River Keeper","1912","Frame Options - Grey rustic frame 1""","0","0.00","8” x 13.5”","13.75” x 19.375”","99","","15.5"" x 21.125""",""
"A04039-2","685","Ltd Edition - Nostalgia","1813","Frame Options - Without frame ","2","0.00","12"" x 12""","17.75"" x 17.875""","99","","19.5"" x 19.5""",""
"A04039-2","685","Ltd Edition - Nostalgia","1814","Frame Options - Black rustic frame 1""","0","0.00","12"" x 12""","17.75"" x 17.875""","99","","19.5"" x 19.5""",""
"A04039-2","685","Ltd Edition - Nostalgia","1815","Frame Options - Grey rustic frame 1""","0","0.00","12"" x 12""","17.75"" x 17.875""","99","","19.5"" x 19.5""",""
"A04039-2","685","Ltd Edition - Nostalgia","1816","Frame Options - Brown rustic frame 1""","0","0.00","12"" x 12""","17.75"" x 17.875""","99","","19.5"" x 19.5""",""
"W12017-2","689","Ltd Edition - Synchronicity","1629","Frame Options - Without frame ","3","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"W12017-2","689","Ltd Edition - Synchronicity","1630","Frame Options - Black rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"W12017-2","689","Ltd Edition - Synchronicity","1631","Frame Options - Grey rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"W12017-2","689","Ltd Edition - Synchronicity","1632","Frame Options - Brown rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"W12001-2","691","Ltd Edition - Dialogue","1873","Frame Options - Without frame ","2","0.00","13.5” x 5”","19.25” x 10.875”","99","","21"" x 12.625""",""
"W12001-2","691","Ltd Edition - Dialogue","1874","Frame Options - Black rustic frame 1""","0","0.00","13.5” x 5”","19.25” x 10.875”","99","","21"" x 12.625""",""
