"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax wholesale price"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","","","","","601","0","108","46.9"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","","","","","602","0","108","46.9"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","","","","","603","0","108","46.9"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","","","","","604","0","108","46.9"
"6080-0408-41RB-600RB","544","Ladies Suede Slippers","","","","","605","0","108","46.9"
"6080-0408-41BL-653","554","Ladies Suede Slippers","","","","","692","0","108","46.9"
"6080-0408-41BL-653","554","Ladies Suede Slippers","","","","","7098","1","108","46.9"
"6080-0408-41BL-653","554","Ladies Suede Slippers","","","","","7099","0","108","46.9"
"6080-0408-41BL-653","554","Ladies Suede Slippers","","","","","7100","0","108","46.9"
"6080-0408-41BL-653","554","Ladies Suede Slippers","","","","","7101","0","108","46.9"
"6080-0408-41BL-653","554","Ladies Suede Slippers","","","","","7102","0","108","46.9"
"6080-0408-41BL-653","554","Ladies Suede Slippers","","","","","7103","0","108","46.9"
"6080-0408-41BL-653","554","Ladies Suede Slippers","","","","","7104","1","108","46.9"
"6080-0408-41BL-653","554","Ladies Suede Slippers","","","","","7105","1","108","46.9"
"6080-0408-41NB-658","555","Ladies Suede Slippers","","","","","696","0","108","46.9"
"6080-0408-41NB-658","555","Ladies Suede Slippers","","","","","697","0","108","46.9"
"6080-0408-41NB-658","555","Ladies Suede Slippers","","","","","698","0","108","46.9"
"6080-0408-41NB-658","555","Ladies Suede Slippers","","","","","699","0","108","46.9"
"6080-0408-41NB-658","555","Ladies Suede Slippers","","","","","700","1","108","46.9"
"6080-0408-41NB-658","555","Ladies Suede Slippers","","","","","701","1","108","46.9"
"6080-0408-41NB-658","555","Ladies Suede Slippers","","","","","702","0","108","46.9"
"6080-0408-41NB-658","555","Ladies Suede Slippers","","","","","703","1","108","46.9"
"6080-0408-41NB-658","555","Ladies Suede Slippers","","","","","704","0","108","46.9"
"6080-0408-41SBL-661","558","Ladies Suede Slippers","","","","","723","0","108","46.9"
"6080-0408-41SBL-661","558","Ladies Suede Slippers","","","","","724","0","108","46.9"
"6080-0408-41SBL-661","558","Ladies Suede Slippers","","","","","725","0","108","46.9"
"6080-0408-41SBL-661","558","Ladies Suede Slippers","","","","","726","0","108","46.9"
"6080-0408-41SBL-661","558","Ladies Suede Slippers","","","","","727","0","108","46.9"
"6080-0408-41SBL-661","558","Ladies Suede Slippers","","","","","728","0","108","46.9"
"6080-0408-41SBL-661","558","Ladies Suede Slippers","","","","","729","1","108","46.9"
"6080-0408-41SBL-661","558","Ladies Suede Slippers","","","","","730","1","108","46.9"
"6080-0408-41SBL-661","558","Ladies Suede Slippers","","","","","731","0","108","46.9"
"6080-0408-41FG-669","561","Ladies Suede Slippers","","","","","751","0","108","46.9"
"6080-0408-41FG-669","561","Ladies Suede Slippers","","","","","756","0","108","46.9"
"6080-0408-41FG-669","561","Ladies Suede Slippers","","","","","7114","0","108","46.9"
