"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price","Pre-tax retail price"
"204","1056","Suede Moccasins for Men","2841","Shoe Size - 11","0","129.00","0.00","0.00","0.00"
"204","1056","Suede Moccasins for Men","2842","Shoe Size - 10","0","129.00","0.00","0.00","0.00"
"204","1056","Suede Moccasins for Men","2843","Shoe Size - 9","1","129.00","0.00","0.00","0.00"
"204","1056","Suede Moccasins for Men","2844","Shoe Size - 8","1","129.00","0.00","0.00","0.00"
"204","1056","Suede Moccasins for Men","2845","Shoe Size - 7","2","129.00","0.00","0.00","0.00"
"204","1056","Suede Moccasins for Men","2846","Shoe Size - 6","0","129.00","0.00","0.00","0.00"
"304","1057","Suede Moccasins for Men","2847","Shoe Size - 14","0","164.00","70.50","0.00","0.00"
"304","1057","Suede Moccasins for Men","2848","Shoe Size - 13","0","164.00","70.50","0.00","0.00"
"304","1057","Suede Moccasins for Men","2849","Shoe Size - 12","0","164.00","70.50","0.00","0.00"
"304","1057","Suede Moccasins for Men","2850","Shoe Size - 11","0","164.00","70.50","0.00","0.00"
"304","1057","Suede Moccasins for Men","2851","Shoe Size - 10","0","164.00","70.50","0.00","0.00"
"304","1057","Suede Moccasins for Men","2852","Shoe Size - 9","0","164.00","70.50","0.00","0.00"
"304","1057","Suede Moccasins for Men","2853","Shoe Size - 8","0","164.00","70.50","0.00","0.00"
"304","1057","Suede Moccasins for Men","2854","Shoe Size - 7","0","164.00","70.50","0.00","0.00"
"304","1057","Suede Moccasins for Men","2855","Shoe Size - 6","0","164.00","70.50","0.00","0.00"
"304","1057","Suede Moccasins for Men","2856","Shoe Size - 15","0","164.00","70.50","0.00","0.00"
"804","1058","Suede Moccasins for Men","7890","Shoe Size - 6","0","164.00","70.50","0.00","0.00"
"804","1058","Suede Moccasins for Men","7891","Shoe Size - 7","0","164.00","70.50","0.00","0.00"
"804","1058","Suede Moccasins for Men","7892","Shoe Size - 8","0","164.00","70.50","0.00","0.00"
"804","1058","Suede Moccasins for Men","7893","Shoe Size - 9","0","164.00","70.50","0.00","0.00"
"804","1058","Suede Moccasins for Men","7894","Shoe Size - 10","0","164.00","70.50","0.00","0.00"
"804","1058","Suede Moccasins for Men","7895","Shoe Size - 11","0","164.00","70.50","0.00","0.00"
"804","1058","Suede Moccasins for Men","7896","Shoe Size - 12","0","164.00","70.50","0.00","0.00"
"804","1058","Suede Moccasins for Men","7897","Shoe Size - 13","0","164.00","70.50","0.00","0.00"
