"Product ID","Product Combinations ID","Show price","Pre-tax wholesale price","Pre-tax retail price","Final price (pre-tax)","Retail price with tax","Final price (with-tax)","Quantity"
"700","1820","1","0.00","0.00","335.00","0.00","385.17","0"
"701","1645","1","0.00","0.00","170.00","0.00","195.46","2"
"701","1646","1","0.00","0.00","335.00","0.00","385.17","0"
"701","1647","1","0.00","0.00","335.00","0.00","385.17","0"
"701","1648","1","0.00","0.00","335.00","0.00","385.17","0"
"702","1649","1","0.00","0.00","170.00","0.00","195.46","2"
"702","1650","1","0.00","0.00","335.00","0.00","385.17","0"
"702","1651","1","0.00","0.00","335.00","0.00","385.17","0"
"702","1652","1","0.00","0.00","335.00","0.00","385.17","0"
"703","1918","1","0.00","0.00","320.00","0.00","367.92","0"
"703","1919","1","0.00","0.00","320.00","0.00","367.92","0"
"703","1920","1","0.00","0.00","320.00","0.00","367.92","0"
"703","11347","1","0.00","0.00","155.00","0.00","178.21","2"
"703","11348","1","0.00","0.00","170.00","0.00","195.46","3"
"705","1877","1","0.00","0.00","140.00","0.00","160.97","2"
"705","1878","1","0.00","0.00","305.00","0.00","350.68","0"
"705","1879","1","0.00","0.00","305.00","0.00","350.68","0"
"705","1880","1","0.00","0.00","305.00","0.00","350.68","0"
"706","1821","1","0.00","0.00","170.00","0.00","195.46","1"
"706","1822","1","0.00","0.00","335.00","0.00","385.17","0"
"706","1823","1","0.00","0.00","335.00","0.00","385.17","0"
"706","1824","1","0.00","0.00","335.00","0.00","385.17","0"
"707","1521","1","0.00","0.00","170.00","0.00","195.46","0"
"707","1522","1","0.00","0.00","335.00","0.00","385.17","0"
"707","1523","1","0.00","0.00","335.00","0.00","385.17","0"
"707","1524","1","0.00","0.00","335.00","0.00","385.17","0"
"709","1881","1","0.00","0.00","145.00","0.00","166.72","2"
"709","1882","1","0.00","0.00","305.00","0.00","350.68","0"
"709","1883","1","0.00","0.00","305.00","0.00","350.68","0"
"709","1884","1","0.00","0.00","305.00","0.00","350.68","0"
"710","1885","1","0.00","0.00","145.00","0.00","166.72","1"
"710","1886","1","0.00","0.00","305.00","0.00","350.68","0"
"710","1887","1","0.00","0.00","305.00","0.00","350.68","0"
"710","1888","1","0.00","0.00","305.00","0.00","350.68","0"
"711","1893","1","0.00","0.00","140.00","0.00","160.97","3"
"711","1894","1","0.00","0.00","305.00","0.00","350.68","0"
"711","1895","1","0.00","0.00","305.00","0.00","350.68","0"
"711","1896","1","0.00","0.00","305.00","0.00","350.68","0"
"712","1529","1","0.00","0.00","170.00","0.00","195.46","2"
"712","1530","1","0.00","0.00","335.00","0.00","385.17","0"
"712","1531","1","0.00","0.00","335.00","0.00","385.17","0"
"712","1532","1","0.00","0.00","335.00","0.00","385.17","0"
"714","1753","1","0.00","0.00","170.00","0.00","195.46","4"
"714","1754","1","0.00","0.00","335.00","0.00","385.17","0"
"714","1755","1","0.00","0.00","335.00","0.00","385.17","0"
"714","1756","1","0.00","0.00","335.00","0.00","385.17","0"
"716","1757","1","0.00","0.00","170.00","0.00","195.46","3"
"716","1758","1","0.00","0.00","335.00","0.00","385.17","0"
"716","1759","1","0.00","0.00","335.00","0.00","385.17","0"
"716","1760","1","0.00","0.00","335.00","0.00","385.17","0"
"718","1765","1","0.00","0.00","170.00","0.00","195.46","1"
"718","1766","1","0.00","0.00","335.00","0.00","385.17","0"
"718","1767","1","0.00","0.00","335.00","0.00","385.17","0"
"718","1768","1","0.00","0.00","335.00","0.00","385.17","0"
"719","1930","1","0.00","0.00","170.00","0.00","195.46","2"
"719","1931","1","0.00","0.00","335.00","0.00","385.17","0"
"719","1932","1","0.00","0.00","335.00","0.00","385.17","0"
"719","1933","1","0.00","0.00","335.00","0.00","385.17","0"
"721","1897","1","0.00","0.00","140.00","0.00","160.97","2"
"721","1898","1","0.00","0.00","305.00","0.00","350.68","0"
"721","1899","1","0.00","0.00","305.00","0.00","350.68","0"
"721","1900","1","0.00","0.00","305.00","0.00","350.68","0"
"722","1769","1","0.00","0.00","170.00","0.00","195.46","1"
"722","1770","1","0.00","0.00","335.00","0.00","385.17","0"
"722","1771","1","0.00","0.00","335.00","0.00","385.17","0"
"722","1772","1","0.00","0.00","335.00","0.00","385.17","0"
"725","1589","1","0.00","0.00","295.00","0.00","339.18","0"
"725","1590","1","0.00","0.00","395.00","0.00","454.16","0"
"725","1591","1","0.00","0.00","395.00","0.00","454.16","0"
"725","1592","1","0.00","0.00","395.00","0.00","454.16","0"
"733","1777","1","0.00","0.00","190.00","0.00","218.45","1"
"733","1778","1","0.00","0.00","290.00","0.00","333.43","0"
"733","1779","1","0.00","0.00","290.00","0.00","333.43","0"
"733","1780","1","0.00","0.00","290.00","0.00","333.43","0"
"736","1665","1","0.00","0.00","295.00","0.00","339.18","0"
"736","1666","1","0.00","0.00","395.00","0.00","454.16","0"
"736","1667","1","0.00","0.00","395.00","0.00","454.16","0"
"736","1668","1","0.00","0.00","395.00","0.00","454.16","0"
"737","1561","1","0.00","0.00","295.00","0.00","339.18","1"
"737","1562","1","0.00","0.00","395.00","0.00","454.16","0"
"737","1563","1","0.00","0.00","395.00","0.00","454.16","0"
"737","1564","1","0.00","0.00","395.00","0.00","454.16","0"
"738","1837","1","0.00","0.00","225.00","0.00","258.70","1"
"738","1838","1","0.00","0.00","325.00","0.00","373.67","0"
"738","1839","1","0.00","0.00","325.00","0.00","373.67","0"
"738","1840","1","0.00","0.00","325.00","0.00","373.67","0"
"740","1781","1","0.00","0.00","335.00","0.00","385.17","1"
"740","1782","1","0.00","0.00","435.00","0.00","500.15","0"
"740","1783","1","0.00","0.00","435.00","0.00","500.15","0"
"740","1784","1","0.00","0.00","435.00","0.00","500.15","0"
"741","1854","1","0.00","0.00","495.00","0.00","569.13","0"
"741","1855","1","0.00","0.00","495.00","0.00","569.13","0"
"741","1856","1","0.00","0.00","495.00","0.00","569.13","0"
"741","8134","1","0.00","0.00","315.00","0.00","362.17","1"
"741","8135","1","0.00","0.00","695.00","0.00","799.08","0"
"741","9712","1","0.00","0.00","695.00","0.00","799.08","1"
"744","1857","1","0.00","0.00","525.00","0.00","603.62","0"
"744","1858","1","0.00","0.00","695.00","0.00","799.08","0"
"744","1859","1","0.00","0.00","695.00","0.00","799.08","0"
"744","1860","1","0.00","0.00","695.00","0.00","799.08","0"
