"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax retail price"
"W13026-6","655","Small Print - In Her World","","10"" x 8""","","","","16","25.00","25.00"
"A12050-6","658","Small Print - Ice Dream","","10"" x 8""","","","","2","25.00","25.00"
"W13027-6","659","Small Print - Playing With Shadows","","10"" x 8""","","","","15","25.00","25.00"
"A13053-6","660","Small Print - Roots Of Another World","","10"" x 8""","","","","11","25.00","25.00"
"A01038-6","661","Small Print - Harmony","","10"" x 8""","","","","52","25.00","25.00"
"W13023-6","664","Small Print - Water and Spirit Buffalo","","10"" x 8""","","","","15","25.00","25.00"
"A01030-2","665","Ltd Edition - Eagle Moon","10.25"" x 13.25""","16"" x 20""","","","1593","2","170.00","0.00"
"A01030-2","665","Ltd Edition - Eagle Moon","10.25"" x 13.25""","16"" x 20""","","","1594","0","335.00","0.00"
"A01030-2","665","Ltd Edition - Eagle Moon","10.25"" x 13.25""","16"" x 20""","","","1595","0","335.00","0.00"
"A01030-2","665","Ltd Edition - Eagle Moon","10.25"" x 13.25""","16"" x 20""","","","1596","0","335.00","0.00"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1601","3","170.00","0.00"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1602","0","335.00","0.00"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1603","0","335.00","0.00"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1604","0","335.00","0.00"
"A01032-2","668","Ltd Edition - Moon Wisdom","10.25"" x 13.25""","16"" x 20""","99","","1605","2","170.00","0.00"
"A01032-2","668","Ltd Edition - Moon Wisdom","10.25"" x 13.25""","16"" x 20""","99","","1606","0","335.00","0.00"
"A01032-2","668","Ltd Edition - Moon Wisdom","10.25"" x 13.25""","16"" x 20""","99","","1607","0","335.00","0.00"
"A01032-2","668","Ltd Edition - Moon Wisdom","10.25"" x 13.25""","16"" x 20""","99","","1608","0","335.00","0.00"
"A01033-2","669","Ltd Edition - New Fire","10.25"" x 13.25""","16"" x 20""","99","","1609","2","170.00","0.00"
"A01033-2","669","Ltd Edition - New Fire","10.25"" x 13.25""","16"" x 20""","99","","1610","0","335.00","0.00"
"A01033-2","669","Ltd Edition - New Fire","10.25"" x 13.25""","16"" x 20""","99","","1611","0","335.00","0.00"
"A01033-2","669","Ltd Edition - New Fire","10.25"" x 13.25""","16"" x 20""","99","","1612","0","335.00","0.00"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1613","2","170.00","0.00"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1614","0","335.00","0.00"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1615","0","335.00","0.00"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1616","0","335.00","0.00"
"A01034-2","672","Ltd Edition - Reaching Out","10.25"" x 13.25""","16"" x 20""","99","","1617","2","170.00","0.00"
"A01034-2","672","Ltd Edition - Reaching Out","10.25"" x 13.25""","16"" x 20""","99","","1618","0","335.00","0.00"
"A01034-2","672","Ltd Edition - Reaching Out","10.25"" x 13.25""","16"" x 20""","99","","1619","0","335.00","0.00"
"A01034-2","672","Ltd Edition - Reaching Out","10.25"" x 13.25""","16"" x 20""","99","","1620","0","335.00","0.00"
"A08007-2","675","Ltd Edition - A Moose and Goose","12” x 12”","17.75” 17.875”","99","","1801","2","170.00","0.00"
"A08007-2","675","Ltd Edition - A Moose and Goose","12” x 12”","17.75” 17.875”","99","","1802","0","335.00","0.00"
"A08007-2","675","Ltd Edition - A Moose and Goose","12” x 12”","17.75” 17.875”","99","","1803","0","335.00","0.00"
"A08007-2","675","Ltd Edition - A Moose and Goose","12” x 12”","17.75” 17.875”","99","","1804","0","335.00","0.00"
"A10046-2","678","Ltd Edition - Geese Spirit","13.25"" x 10.25""","20"" x 16""","99","","1725","2","170.00","0.00"
"A10046-2","678","Ltd Edition - Geese Spirit","13.25"" x 10.25""","20"" x 16""","99","","1726","0","335.00","0.00"
"A10046-2","678","Ltd Edition - Geese Spirit","13.25"" x 10.25""","20"" x 16""","99","","1727","0","335.00","0.00"
"A10046-2","678","Ltd Edition - Geese Spirit","13.25"" x 10.25""","20"" x 16""","99","","1728","0","335.00","0.00"
"A08045-2","680","Ltd Edition - Patience","6.75” x 13.5”","12.5” x 19.375”","99","","1889","4","140.00","0.00"
"A08045-2","680","Ltd Edition - Patience","6.75” x 13.5”","12.5” x 19.375”","99","","1890","0","305.00","0.00"
"A08045-2","680","Ltd Edition - Patience","6.75” x 13.5”","12.5” x 19.375”","99","","1891","0","305.00","0.00"
"A08045-2","680","Ltd Edition - Patience","6.75” x 13.5”","12.5” x 19.375”","99","","1892","0","305.00","0.00"
"A09006-2","683","Ltd Edition - River Keeper","8” x 13.5”","13.75” x 19.375”","99","","1909","4","155.00","0.00"
"A09006-2","683","Ltd Edition - River Keeper","8” x 13.5”","13.75” x 19.375”","99","","1910","0","320.00","0.00"
