"Reference code","Product name","Product Combinations ID","Pre-tax retail price","Quantity","Product ID"
"A13041-2","Ltd Edition - Lapinx","1919","0","0","703"
"A13041-2","Ltd Edition - Lapinx","1920","0","0","703"
"A16052-2","Ltd Edition - Zenith","1921","0","2","708"
"A16052-2","Ltd Edition - Zenith","1922","0","0","708"
"A16052-2","Ltd Edition - Zenith","1923","0","0","708"
"A16052-2","Ltd Edition - Zenith","1924","0","0","708"
"A17064-2","Ltd Edition - M'Otter Love","1925","0","2","790"
"A17064-2","Ltd Edition - M'Otter Love","1926","0","0","790"
"A17064-2","Ltd Edition - M'Otter Love","1927","0","0","790"
"A17064-2","Ltd Edition - M'Otter Love","1928","0","0","790"
"A16051-WLS0401NC05A","Dolly Top ""Northern Keepers""","2194","119","0","810"
"A16051-WLS0401NC05A","Dolly Top ""Northern Keepers""","2195","119","1","810"
"A16051-WLS0401NC05A","Dolly Top ""Northern Keepers""","2196","119","0","810"
"A16051-WLS0401NC05A","Dolly Top ""Northern Keepers""","2197","119","1","810"
"A16051-WLS0401NC05A","Dolly Top ""Northern Keepers""","2198","119","0","810"
"240","Suede Moccasins for Women","2639","114","0","1032"
"240","Suede Moccasins for Women","2640","114","1","1032"
"240","Suede Moccasins for Women","2641","114","0","1032"
"240","Suede Moccasins for Women","2642","114","0","1032"
"240","Suede Moccasins for Women","2643","114","0","1032"
"240","Suede Moccasins for Women","2644","114","0","1032"
"240","Suede Moccasins for Women","2645","114","1","1032"
"542","Suede Moccasins for Women","2705","114","1","1039"
"542","Suede Moccasins for Women","2706","114","1","1039"
"642","Suede Moccasins for Women","2708","114","1","1040"
"642","Suede Moccasins for Women","2711","114","0","1040"
"642","Suede Moccasins for Women","2712","114","1","1040"
"A17063-WBL0701NC02A","Cassatt Vest ""Depth""","2883","119","0","1067"
"A17063-WBL0701NC02A","Cassatt Vest ""Depth""","2884","119","1","1067"
"A17063-WBL0701NC02A","Cassatt Vest ""Depth""","2885","119","1","1067"
"A17063-WBL0701NC02A","Cassatt Vest ""Depth""","2886","119","0","1067"
"A17063-WBL0701NC02A","Cassatt Vest ""Depth""","2887","119","0","1067"
"A16059-WBL0301NC0IA","Frida Cardigan ""Wisdom Keepers""","2927","129","1","916"
"A16059-WBL0301NC0IA","Frida Cardigan ""Wisdom Keepers""","2928","129","1","916"
"A16059-WBL0301NC0IA","Frida Cardigan ""Wisdom Keepers""","2929","129","0","916"
"A16059-WBL0301NC0IA","Frida Cardigan ""Wisdom Keepers""","2930","129","0","916"
"A16059-WBL0301NC0IA","Frida Cardigan ""Wisdom Keepers""","2931","129","0","916"
"A16052-WBL0301NC0BA","Frida Cardigan ""Zenith""","2932","129","0","919"
"A16052-WBL0301NC0BA","Frida Cardigan ""Zenith""","2933","129","1","919"
"A16052-WBL0301NC0BA","Frida Cardigan ""Zenith""","2934","129","1","919"
"A16052-WBL0301NC0BA","Frida Cardigan ""Zenith""","2935","129","0","919"
"A16052-WBL0301NC0BA","Frida Cardigan ""Zenith""","2936","129","0","919"
"A10004-WBL0301NC01C","Frida Cardigan ""Merging Earth and Sky""","2947","129","1","954"
"A10004-WBL0301NC01C","Frida Cardigan ""Merging Earth and Sky""","2948","129","1","954"
"A10004-WBL0301NC01C","Frida Cardigan ""Merging Earth and Sky""","2949","129","0","954"
"A10004-WBL0301NC01C","Frida Cardigan ""Merging Earth and Sky""","2950","129","0","954"
"A10004-WBL0301NC01C","Frida Cardigan ""Merging Earth and Sky""","2951","129","0","954"
"A08013-WBL0301NC0FB","Frida Cardigan ""New Day""","2962","129","1","986"
"A08013-WBL0301NC0FB","Frida Cardigan ""New Day""","2963","129","0","986"
"A08013-WBL0301NC0FB","Frida Cardigan ""New Day""","2964","129","0","986"
"A08013-WBL0301NC0FB","Frida Cardigan ""New Day""","2965","129","0","986"
"A08013-WBL0301NC0FB","Frida Cardigan ""New Day""","2966","129","1","986"
"A17063-WBL0301NC02A","Frida Cardigan ""Depth""","2967","129","1","987"
"A17063-WBL0301NC02A","Frida Cardigan ""Depth""","2968","129","0","987"
"A17063-WBL0301NC02A","Frida Cardigan ""Depth""","2969","129","1","987"
"A17063-WBL0301NC02A","Frida Cardigan ""Depth""","2970","129","0","987"
"A17063-WBL0301NC02A","Frida Cardigan ""Depth""","2971","129","0","987"
"A01028-WBL0301NC08A","Frida Cardigan ""Giving Thanks""","2977","129","0","1010"
"A01028-WBL0301NC08A","Frida Cardigan ""Giving Thanks""","2978","129","1","1010"
"A01028-WBL0301NC08A","Frida Cardigan ""Giving Thanks""","2979","129","1","1010"
"A01028-WBL0301NC08A","Frida Cardigan ""Giving Thanks""","2980","129","0","1010"
"A01028-WBL0301NC08A","Frida Cardigan ""Giving Thanks""","2981","129","0","1010"
"A16058-WSK040NCO4A","Skirt Alex ""Silent Seekers""","2992","129","0","984"
"A16058-WSK040NCO4A","Skirt Alex ""Silent Seekers""","2993","129","1","984"
"A16058-WSK040NCO4A","Skirt Alex ""Silent Seekers""","2994","129","0","984"
"A16058-WSK040NCO4A","Skirt Alex ""Silent Seekers""","2995","129","1","984"
"A16058-WSK040NCO4A","Skirt Alex ""Silent Seekers""","2996","129","0","984"
"A16059-WPA0401NC0IB","Jackie Legging ""Wisdom Keepers""","3007","109","0","894"
"A16059-WPA0401NC0IB","Jackie Legging ""Wisdom Keepers""","3008","109","0","894"
"A16059-WPA0401NC0IB","Jackie Legging ""Wisdom Keepers""","3009","109","0","894"
"A16059-WPA0401NC0IB","Jackie Legging ""Wisdom Keepers""","3010","109","1","894"
"A16059-WPA0401NC0IB","Jackie Legging ""Wisdom Keepers""","3011","109","1","894"
"A08011-WPA0401NC0HE","Jackie Legging ""Whisper""","3012","109","0","989"
"A08011-WPA0401NC0HE","Jackie Legging ""Whisper""","3013","109","1","989"
"A08011-WPA0401NC0HE","Jackie Legging ""Whisper""","3014","109","0","989"
"A08011-WPA0401NC0HE","Jackie Legging ""Whisper""","3015","109","0","989"
"A08011-WPA0401NC0HE","Jackie Legging ""Whisper""","3016","109","1","989"
"W12018-WDR2601NC0DB","Kate Dress ""Early Evening Flowing into Fall""","3037","149","0","911"
"W12018-WDR2601NC0DB","Kate Dress ""Early Evening Flowing into Fall""","3038","149","1","911"
"W12018-WDR2601NC0DB","Kate Dress ""Early Evening Flowing into Fall""","3039","149","0","911"
"W12018-WDR2601NC0DB","Kate Dress ""Early Evening Flowing into Fall""","3040","149","0","911"
"W12018-WDR2601NC0DB","Kate Dress ""Early Evening Flowing into Fall""","3041","149","1","911"
"A13041-WDR2901NC0EB","Joni Dress ""Lapinx""","3097","139","0","881"
"A13041-WDR2901NC0EB","Joni Dress ""Lapinx""","3098","139","1","881"
"A13041-WDR2901NC0EB","Joni Dress ""Lapinx""","3099","139","0","881"
"A13041-WDR2901NC0EB","Joni Dress ""Lapinx""","3100","139","1","881"
"A13041-WDR2901NC0EB","Joni Dress ""Lapinx""","3101","139","0","881"
"A08013-WDR2901NC0FA","Joni Dress ""New Day""","3102","139","0","976"
"A08013-WDR2901NC0FA","Joni Dress ""New Day""","3103","139","0","976"
"A08013-WDR2901NC0FA","Joni Dress ""New Day""","3104","139","1","976"
