"Product name","Reference code","Combinations Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations wholesale price","Product Combinations ID","Product ID"
"Birthstone Pendant","DC1701-PX12","DC1708-P","6","5.50","12.95","0.00","9083","10285"
"Birthstone Pendant","DC1701-PX12","DC1709-P","11","5.50","12.95","0.00","9084","10285"
"Birthstone Pendant","DC1701-PX12","DC1710-P","3","5.50","12.95","0.00","9085","10285"
"Birthstone Pendant","DC1701-PX12","DC1711-P","14","5.50","12.95","0.00","9086","10285"
"Birthstone Pendant","DC1701-PX12","DC1712-P","10","5.50","12.95","0.00","9087","10285"
"Sterling Silver Necklace","PMSS23-P","","3","23.00","52.95","0.00","","10338"
"Sterling Silver Necklace","PMSS20-P","","5","21.50","49.95","0.00","","10343"
"Sterling Silver Necklace","PMSS21-P","","5","25.00","50.95","0.00","","10344"
"Sterling Silver Necklace","PMSS22-P","","3","25.00","57.95","0.00","","10345"
"Sterling Silver Necklace","PMSS25-P","","3","28.00","64.95","0.00","","10354"
"Fetish Necklace","4030","","5","100.00","240.00","0.00","","10830"
"Curb Chain","C60","16","0","0.00","0.00","17.00","9647","12725"
"Curb Chain","C60","18","2","0.00","0.00","21.00","9648","12725"
"Curb Chain","C60","20","2","0.00","0.00","24.00","9649","12725"
"Curb Chain","C60","22","0","0.00","0.00","25.00","9650","12725"
"Curb Chain","C60","24","1","0.00","0.00","26.00","9651","12725"
"Curb Chain","C60","30","0","0.00","0.00","33.00","9652","12725"
"DC15 Pendant","DC15-P","","15","3.75","8.95","0.00","","12776"
"DC15M Pendant","DC15M-P","","4","5.00","11.95","0.00","","12777"
"DC2 Pendant","DC2-P","","32","5.00","11.95","0.00","","12778"
"DC23 Pendant","DC23-P","","2","5.00","11.95","0.00","","12779"
"DC24 Pendant","DC24-P","","2","5.00","11.95","0.00","","12780"
"DC10 Pendant","DC10-P","","10","3.75","8.95","0.00","","12781"
"BB2 Pendant ""Birch Bark""","BB2-P","","3","5.30","12.95","0.00","","12798"
"DC13 Pendant","DC13-P","","3","6.75","15.95","0.00","","12940"
"DC20 Pendant","DC20-P","","4","11.75","26.95","0.00","","12943"
"DC21 Pendant","DC21-P","","2","11.50","26.95","0.00","","12945"
"DC19 Pendant","DC19-P","","7","6.75","15.95","0.00","","12948"
"DC18 Pendant","DC18-P","","6","6.75","15.95","0.00","","12949"
"DC5 Pendant","DC5-P","","9","4.25","10.95","0.00","","12998"
"BB4 Pendant ""Birch Bark""","BB4-P","","3","5.50","12.95","0.00","","12999"
"BB6 Pendant ""Birch Bark""","BB6-P","","4","7.05","15.95","0.00","","13000"
"BB8 Pendant ""Birch Bark""","BB8-P","","4","4.50","10.95","0.00","","13004"
"BB1 Pendant ""Birch Bark""","BB1-P","","3","6.00","14.95","0.00","","13005"
"DC1421 Pendant","DC1421-P","","0","4.50","11.95","0.00","","13006"
"DC1417 Pendant","DC1417-P","","3","4.50","11.95","0.00","","13007"
"DC1420 Pendant","DC1420-P","","3","6.25","14.95","0.00","","13010"
"BB3 Pendant ""Birch Bark""","BB3-P","","4","4.00","10.95","0.00","","13777"
"Figaro Chain","F50","","0","0.00","0.00","12.00","10781","14894"
"Figaro Chain","F50","","0","0.00","0.00","15.00","10782","14894"
"Figaro Chain","F50","","2","0.00","0.00","16.00","10783","14894"
"Figaro Chain","F50","","2","0.00","0.00","18.00","10784","14894"
"Figaro Chain","F50","","0","0.00","0.00","19.00","10785","14894"
"Figaro Chain","F50","","0","0.00","0.00","0.00","10786","14894"
"Oxydized Rounded Box Chain","OBX","","3","0.00","0.00","33.00","10795","14896"
"Oxydized Rounded Box Chain","OBX","","2","0.00","0.00","35.00","10796","14896"
"Oxydized Rounded Box Chain","OBX","","1","0.00","0.00","36.00","10797","14896"
"Oxydized Rounded Box Chain","OBX","","1","0.00","0.00","38.00","10798","14896"
"Oxydized Rounded Box Chain","OBX","","0","0.00","0.00","0.00","10799","14896"
"Oxydized Rounded Box Chain","OBX","","1","0.00","0.00","29.00","10800","14896"
"Satellite Chain","STC","","2","0.00","0.00","13.00","10801","14897"
"Satellite Chain","STC","","2","0.00","0.00","14.39","10802","14897"
"Satellite Chain","STC","","0","0.00","0.00","0.00","10803","14897"
"Satellite Chain","STC","","0","0.00","0.00","0.00","10804","14897"
"Satellite Chain","STC","","0","0.00","0.00","0.00","10805","14897"
"Satellite Chain","STC","","2","0.00","0.00","11.53","10806","14897"
"Satellite Chain","STC","","1","0.00","0.00","10.89","13108","14897"
"Sun Disk Curb Chain","SUN","","2","0.00","0.00","10.89","10813","14898"
"Sun Disk Curb Chain","SUN","","3","0.00","0.00","14.39","10814","14898"
"Sun Disk Curb Chain","SUN","SUN16","1","0.00","0.00","22.69","10815","14898"
"Sun Disk Curb Chain","SUN","","2","0.00","0.00","25.25","10816","14898"
"Sun Disk Curb Chain","SUN","","0","0.00","0.00","27.00","10817","14898"
"Sun Disk Curb Chain","SUN","","0","0.00","0.00","0.00","10818","14898"
"Sun Disk Curb Chain","SUN","","0","0.00","0.00","0.00","10819","14898"
"Sun Disk Curb Chain","SUN","","0","0.00","0.00","0.00","10820","14898"
"BBSS12 Birch Bark Pendant","BBSS12-P","","0","16.50","38.95","0.00","","14994"
"BBSS1 Pendant ''Birch Bark''","BBSS1-P","","5","15.00","34.95","0.00","","15305"
"DCC20 Pendant","DCC20-P","","3","11.75","26.95","0.00","","15708"
"DC16 Pendant","DC16-P","","5","6.75","15.95","0.00","","15723"
"BB7 Pendant ""Birch Bark""","BB7-P","","6","7.05","15.95","0.00","","15730"
"DCC21 Pendant","DCC21-P","","5","6.75","15.95","0.00","","15731"
"Oxidized Rope Chain","OXRP","","0","0.00","0.00","0.00","12229","16111"
"Oxidized Rope Chain","OXRP","","2","0.00","0.00","95.00","12230","16111"
"Oxidized Rope Chain","OXRP","","1","0.00","0.00","104.00","12231","16111"
"Oxidized Rope Chain","OXRP","","1","0.00","0.00","113.00","12232","16111"
"Oxidized Rope Chain","OXRP","","0","0.00","0.00","137.00","12233","16111"
"Oxidized Rope Chain","OXRP","","0","0.00","0.00","0.00","12234","16111"
"Beaded Necklace","RED4-P","","2","5.50","14.00","0.00","","16232"
"DC6 Pendant","DC6-P","","3","5.25","14.00","0.00","","16930"
"DC8 Pendant","DC8-P","","3","5.25","14.00","0.00","","16932"
"Mother of Pearl Pendant","MN104","","3","3.00","7.95","0.00","","16945"
"Mother of Pearl Pendant","MN105","","2","3.25","8.95","0.00","","16946"
"Abalone Shell Pendant","MN106","","3","5.50","12.95","0.00","","16947"
"Abalone Shell Pendant","MN107","","3","4.25","10.95","0.00","","16948"
"DC1430 Necklace","DC1430-P","","7","4.25","10.95","0.00","","16960"
"DC1431 Necklace","DC1431-P","","9","4.25","10.95","0.00","","16961"
"DC1432 Necklace","DC1432-P","","2","7.50","17.95","0.00","","16962"
"Beaded Choker","MN213","","3","8.00","18.95","0.00","","16967"
"Beaded Moccasins","MINIMOCS","","16","35.00","80.00","0.00","","16978"
"Beaded Necklace","MN809","","3","8.00","18.95","0.00","","17282"
"Beaded Necklace","MN805","","2","8.00","18.95","0.00","","17285"
"Stone Spiral Necklace","CJD12","","8","175.00","4.00","0.00","","17294"
