"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","13.25"" x 10.25""","20"" x 16""","99","","1742","0","335.00","74.00","0.00"
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","13.25"" x 10.25""","20"" x 16""","99","","1743","0","335.00","74.00","0.00"
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","13.25"" x 10.25""","20"" x 16""","99","","1744","0","335.00","74.00","0.00"
"A00048-2","698","Ltd Edition - The Protector","10.25"" x 13.25""","16"" x 20""","99","","1653","2","170.00","74.00","70.73"
"A00048-2","698","Ltd Edition - The Protector","10.25"" x 13.25""","16"" x 20""","99","","1654","0","335.00","74.00","0.00"
"A00048-2","698","Ltd Edition - The Protector","10.25"" x 13.25""","16"" x 20""","99","","1655","0","335.00","74.00","0.00"
"A00048-2","698","Ltd Edition - The Protector","10.25"" x 13.25""","16"" x 20""","99","","1656","0","335.00","74.00","0.00"
"A01003-2","699","Ltd Edition - Sky Girl","10.25"" x 13.25""","16"" x 20""","99","","1641","3","170.00","74.00","70.73"
"A01003-2","699","Ltd Edition - Sky Girl","10.25"" x 13.25""","16"" x 20""","99","","1642","0","335.00","74.00","0.00"
"A01003-2","699","Ltd Edition - Sky Girl","10.25"" x 13.25""","16"" x 20""","99","","1643","0","335.00","74.00","0.00"
"A01003-2","699","Ltd Edition - Sky Girl","10.25"" x 13.25""","16"" x 20""","99","","1644","0","335.00","74.00","0.00"
"A09054-2","701","Ltd Edition - Tranquility","10.25"" x 13.25""","16"" x 20""","99","","1645","2","170.00","74.00","0.00"
"A09054-2","701","Ltd Edition - Tranquility","10.25"" x 13.25""","16"" x 20""","99","","1646","0","335.00","74.00","0.00"
"A09054-2","701","Ltd Edition - Tranquility","10.25"" x 13.25""","16"" x 20""","99","","1647","0","335.00","74.00","0.00"
"A09054-2","701","Ltd Edition - Tranquility","10.25"" x 13.25""","16"" x 20""","99","","1648","0","335.00","74.00","0.00"
"A16055-2","702","Ltd Edition - Abundance","10.25"" x 13.25""","16"" x 20""","99","","1649","2","170.00","74.00","0.00"
"A16055-2","702","Ltd Edition - Abundance","10.25"" x 13.25""","16"" x 20""","99","","1650","0","335.00","74.00","0.00"
