"Reference code","Product name","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"A18019-UAC0301NC13A","Reuben Tote Bag ""Unity""","","0","21.00","49.00","","15205"
"A17064-UAC0301NC03D","Reuben Tote Bag ""M'Otter Love""","","0","21.00","49.00","","15213"
"W17062-UAC0301NCOGB","Reuben Tote Bag ""Horizon""","","0","21.00","49.00","","15231"
"DCC20-P","DCC20 Pendant","","4","9.00","26.95","","15708"
"DCC21","DCC21 Earrings","","3","10.50","24.95","","15727"
"DCC21-P","DCC21 Pendant","","5","6.75","15.95","","15731"
"UAC6501NC0CA","Maxime Bag ""The Forest Temple""","","0","27.50","65.00","","16259"
"UAC6501NC03A","Maxime Bag ""Motter Love""","","0","27.50","65.00","","16260"
"UAC6501NC05A","Maxime Bag ""Northern Keepers""","","0","27.50","65.00","","16261"
"UAC6501NC13A","Maxime Bag ""Unity""","","0","27.50","65.00","","16262"
"UAC6501NC0FA","Maxime Bag ""New Day""","","0","27.50","65.00","","16263"
"W12018-UAC0301NC0DA","Maxime Tote Bag ""Early Evening Flowing into Fall""","","0","21.00","65.00","","16359"
"BAG01001NCIJA","Suede Pouch ""Carried Away Under The Blue Moon""","","0","24.00","59.00","","16562"
"BAG01001NC02A","Suede Pouch ""Depth""","","0","24.00","59.00","","16564"
"BAG01001NC0TA","Suede Pouch ""Gezaluwejit""","","0","24.00","59.00","","16565"
"BAG01001NC05A","Suede Pouch ""Northern Keepers""","","0","24.00","59.00","","16566"
"BAG01001NC0JA","Suede Pouch ""Northern Masters""","","0","24.00","59.00","","16567"
"BAG01001NC0YA","Suede Pouch ""Refuge""","","0","24.00","59.00","","16568"
"UAC7001NCOTA","Suede Tote Bag ""Gezaluwejit""","","0","29.00","69.00","","16569"
"UAC7001NC1DA","Suede Tote Bag ""In Her World""","","0","29.00","69.00","","16570"
"UAC7001NC1YA","Suede Tote Bag ""Refuge""","","0","29.00","69.00","","16572"
"UAC71001NC02A","Suede Pouch ""Depth""","","0","11.00","29.00","","16575"
"UAC71001NC0TA","Suede Pouch ""Gezaluwejit""","","0","11.00","29.00","","16576"
"UAC71001NC0DA","Suede Pouch ""In Her World""","","0","11.00","29.00","","16577"
"UAC71001NC05A","Suede Pouch ""Northern Keepers""","","0","11.00","29.00","","16578"
"UAC71001NC0JA","Suede Pouch ""Northern Masters""","","0","11.00","29.00","","16579"
"TURQOURS","copy of Turquoise Necklace","","0","16.50","1200.00","","17248"
