"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"Leather Moccasins for Women","4890","","Mocassins en Cuir pour Dames : Pointure - 9","9","52.00","135.00","2725","1042"
"Leather Moccasins for Women","4890","","Mocassins en Cuir pour Dames : Pointure - 4","7","52.00","135.00","2726","1042"
"Leather Moccasins for Women","4890","","Mocassins en Cuir pour Dames : Pointure - 10","8","52.00","135.00","2728","1042"
"Leather Moccasins for Women","4890","","Mocassins en Cuir pour Dames : Pointure - 5","7","52.00","135.00","7210","1042"
"Leather Moccasins for Women","B489","","Mocassins en Cuir pour Dames : Pointure - 4","2","46.00","129.00","2761","1045"
"Leather Moccasins for Women","B489","","Mocassins en Cuir pour Dames : Pointure - 6","1","46.00","129.00","2763","1045"
"Leather Moccasins for Women","B489","","Mocassins en Cuir pour Dames : Pointure - 7","4","46.00","129.00","2764","1045"
"Leather Moccasins for Women","B489","","Mocassins en Cuir pour Dames : Pointure - 8","3","46.00","129.00","2765","1045"
"Leather Moccasins for Women","B489","","Mocassins en Cuir pour Dames : Pointure - 9","7","46.00","129.00","2766","1045"
"Leather Moccasins for Women","B489","","Mocassins en Cuir pour Dames : Pointure - 10","5","46.00","129.00","2767","1045"
"Leather Moccasins for Women","B489","","Mocassins en Cuir pour Dames : Pointure - 5","5","46.00","129.00","7220","1045"
"Ballerina Slippers","150CR","","Mocassins Ballerine : Pointure - 5","1","57.75","115.00","3378","1076"
"Ballerina Slippers","150CR","","Mocassins Ballerine : Pointure - 9","3","57.75","115.00","3382","1076"
"Ballerina Slippers","150CR","","Mocassins Ballerine : Pointure - 10","3","57.75","115.00","3383","1076"
"Ballerina Slippers","150CR","","Mocassins Ballerine : Pointure - 6","0","57.75","115.00","7224","1076"
"Ballerina Slippers","150CR","","Mocassins Ballerine : Pointure - 7","0","57.75","115.00","7225","1076"
"Ballerina Slippers","150CR","","Mocassins Ballerine : Pointure - 8","1","57.75","115.00","7226","1076"
"Ballerina Slippers","150CR","","Mocassins Ballerine : Pointure - 11","0","57.75","115.00","9579","1076"
"Ballerina Slippers","150CR","","Mocassins Ballerine : Pointure - 12","0","57.75","115.00","9580","1076"
"Ballerina Slippers","150BL","","Mocassins Ballerine : Pointure - 5","3","57.75","115.00","3396","1078"
"Ballerina Slippers","150BL","","Mocassins Ballerine : Pointure - 10","0","57.75","115.00","3401","1078"
"Ballerina Slippers","150BL","","Mocassins Ballerine : Pointure - 6","0","57.75","115.00","7227","1078"
"Ballerina Slippers","150BL","","Mocassins Ballerine : Pointure - 7","0","57.75","115.00","7228","1078"
"Ballerina Slippers","150BL","","Mocassins Ballerine : Pointure - 8","0","57.75","115.00","7229","1078"
"Ballerina Slippers","150BL","","Mocassins Ballerine : Pointure - 9","1","57.75","115.00","7230","1078"
"Ballerina Slippers","150BL","","Mocassins Ballerine : Pointure - 11","1","57.75","115.00","9271","1078"
"Ballerina Slippers","150BL","","Mocassins Ballerine : Pointure - 12","0","57.75","115.00","9272","1078"
"Ballerina Slippers","150BR","","Mocassins Ballerine : Pointure - 5","1","57.75","115.00","3408","1079"
"Ballerina Slippers","150BR","","Mocassins Ballerine : Pointure - 10","1","57.75","115.00","3413","1079"
"Ballerina Slippers","150BR","","Mocassins Ballerine : Pointure - 6","0","57.75","115.00","7231","1079"
"Ballerina Slippers","150BR","","Mocassins Ballerine : Pointure - 7","0","57.75","115.00","7232","1079"
"Ballerina Slippers","150BR","","Mocassins Ballerine : Pointure - 8","0","57.75","115.00","7233","1079"
"Ballerina Slippers","150BR","","Mocassins Ballerine : Pointure - 9","0","57.75","115.00","7234","1079"
"Ballerina Slippers","150BR","","Mocassins Ballerine : Pointure - 11","0","57.75","115.00","9581","1079"
"Ballerina Slippers","150BR","","Mocassins Ballerine : Pointure - 12","0","57.75","115.00","9582","1079"
"Ballerina Slippers","150PR","","Mocassins Ballerine : Pointure - 5","1","57.75","115.00","3432","1081"
"Ballerina Slippers","150PR","","Mocassins Ballerine : Pointure - 6","0","57.75","115.00","3433","1081"
"Ballerina Slippers","150PR","","Mocassins Ballerine : Pointure - 9","0","57.75","115.00","3436","1081"
"Ballerina Slippers","150PR","","Mocassins Ballerine : Pointure - 10","0","57.75","115.00","3437","1081"
"Ballerina Slippers","150PR","","Mocassins Ballerine : Pointure - 7","0","57.75","115.00","7240","1081"
"Ballerina Slippers","150PR","","Mocassins Ballerine : Pointure - 8","0","57.75","115.00","7241","1081"
"Ballerina Slippers","150PR","","Mocassins Ballerine : Pointure - 11","0","57.75","115.00","9585","1081"
"Ballerina Slippers","150PR","","Mocassins Ballerine : Pointure - 12","0","57.75","115.00","9586","1081"
"Ballerina Slippers","150RD","","Mocassins Ballerine : Pointure - 5","0","57.75","115.00","3444","1082"
"Ballerina Slippers","150RD","","Mocassins Ballerine : Pointure - 6","0","57.75","115.00","3445","1082"
"Ballerina Slippers","150RD","","Mocassins Ballerine : Pointure - 9","2","57.75","115.00","3448","1082"
"Ballerina Slippers","150RD","","Mocassins Ballerine : Pointure - 10","1","57.75","115.00","3449","1082"
"Ballerina Slippers","150RD","","Mocassins Ballerine : Pointure - 7","0","57.75","115.00","7242","1082"
"Ballerina Slippers","150RD","","Mocassins Ballerine : Pointure - 8","0","57.75","115.00","7243","1082"
"Ballerina Slippers","150RD","","Mocassins Ballerine : Pointure - 11","0","57.75","115.00","9587","1082"
"Ballerina Slippers","150RD","","Mocassins Ballerine : Pointure - 12","0","57.75","115.00","9588","1082"
"Ballerina Slippers","150ST","","Mocassins Ballerine : Pointure - 5","1","57.75","115.00","3456","1083"
"Ballerina Slippers","150ST","","Mocassins Ballerine : Pointure - 10","2","57.75","115.00","3461","1083"
"Ballerina Slippers","150ST","","Mocassins Ballerine : Pointure - 6","0","57.75","115.00","7244","1083"
"Ballerina Slippers","150ST","","Mocassins Ballerine : Pointure - 7","0","57.75","115.00","7245","1083"
"Ballerina Slippers","150ST","","Mocassins Ballerine : Pointure - 8","0","57.75","115.00","7246","1083"
"Ballerina Slippers","150ST","","Mocassins Ballerine : Pointure - 9","0","57.75","115.00","7247","1083"
"Ballerina Slippers","150ST","","Mocassins Ballerine : Pointure - 11","0","57.75","115.00","9314","1083"
"Ballerina Slippers","150ST","","Mocassins Ballerine : Pointure - 12","1","57.75","115.00","9589","1083"
"Ballerina Slippers","150TQ","","Mocassins Ballerine : Pointure - 5","1","57.75","115.00","3468","1084"
"Ballerina Slippers","150TQ","","Mocassins Ballerine : Pointure - 6","2","57.75","115.00","3469","1084"
"Ballerina Slippers","150TQ","","Mocassins Ballerine : Pointure - 7","0","57.75","115.00","3470","1084"
"Ballerina Slippers","150TQ","","Mocassins Ballerine : Pointure - 8","4","57.75","115.00","3471","1084"
"Ballerina Slippers","150TQ","","Mocassins Ballerine : Pointure - 10","3","57.75","115.00","3473","1084"
"Ballerina Slippers","150TQ","","Mocassins Ballerine : Pointure - 9","3","57.75","115.00","7248","1084"
"Ballerina Slippers","150TQ","","Mocassins Ballerine : Pointure - 11","0","57.75","115.00","9590","1084"
"Ballerina Slippers","150TQ","","Mocassins Ballerine : Pointure - 12","0","57.75","115.00","9591","1084"
"Ladies Moccasins","5109-0048-13-13136DKDKP","","Mocassins pour Dames : Pointure - 10","1","44.00","102.00","3624","1098"
"Ladies Moccasins","5109-0048-13-13136DKDKP","","Mocassins pour Dames : Pointure - 4","0","44.00","102.00","7273","1098"
"Ladies Moccasins","5109-0048-13-13136DKDKP","","Mocassins pour Dames : Pointure - 5","0","44.00","102.00","7274","1098"
"Ladies Moccasins","5109-0048-13-13136DKDKP","","Mocassins pour Dames : Pointure - 6","0","44.00","102.00","7275","1098"
"Ladies Moccasins","5109-0048-13-13136DKDKP","","Mocassins pour Dames : Pointure - 7","1","44.00","102.00","7276","1098"
"Ladies Moccasins","5109-0048-13-13136DKDKP","","Mocassins pour Dames : Pointure - 8","1","44.00","102.00","7277","1098"
"Ladies Moccasins","5109-0048-13-13136DKDKP","","Mocassins pour Dames : Pointure - 9","0","44.00","102.00","7278","1098"
"Ladies Suede Moccasins","5000-0008-12-1493CHO","","Mocassins en Suède pour Dames : Pointure - 6","2","41.50","96.00","3656","1100"
"Ladies Suede Moccasins","5000-0008-12-1493CHO","","Mocassins en Suède pour Dames : Pointure - 7","0","41.50","96.00","3657","1100"
"Ladies Suede Moccasins","5000-0008-12-1493CHO","","Mocassins en Suède pour Dames : Pointure - 11","1","41.50","96.00","3661","1100"
"Ladies Suede Moccasins","5000-0008-12-1493CHO","","Mocassins en Suède pour Dames : Pointure - 4","0","41.50","96.00","7280","1100"
"Ladies Suede Moccasins","5000-0008-12-1493CHO","","Mocassins en Suède pour Dames : Pointure - 5","0","41.50","96.00","7281","1100"
"Ladies Suede Moccasins","5000-0008-12-1493CHO","","Mocassins en Suède pour Dames : Pointure - 8","0","41.50","96.00","7282","1100"
"Ladies Suede Moccasins","5000-0008-12-1493CHO","","Mocassins en Suède pour Dames : Pointure - 9","1","41.50","96.00","7283","1100"
"Ladies Suede Moccasins","5000-0008-12-1493CHO","","Mocassins en Suède pour Dames : Pointure - 10","0","41.50","96.00","7284","1100"
"Ladies Suede Moccasins","5000-0008-12-1493CHO","","Mocassins en Suède pour Dames : Pointure - 12","0","41.50","96.00","7285","1100"
"Ladies Suede Moccasins","5000-0008-12BL-1493BL","","Mocassins en Suède pour Dames : Pointure - 6","1","41.50","96.00","3702","1103"
"Ladies Suede Moccasins","5000-0008-12BL-1493BL","","Mocassins en Suède pour Dames : Pointure - 11","0","41.50","96.00","3707","1103"
"Ladies Suede Moccasins","5000-0008-12BL-1493BL","","Mocassins en Suède pour Dames : Pointure - 4","0","41.50","96.00","7295","1103"
"Ladies Suede Moccasins","5000-0008-12BL-1493BL","","Mocassins en Suède pour Dames : Pointure - 5","1","41.50","96.00","7296","1103"
"Ladies Suede Moccasins","5000-0008-12BL-1493BL","","Mocassins en Suède pour Dames : Pointure - 7","0","41.50","96.00","7297","1103"
"Ladies Suede Moccasins","5000-0008-12BL-1493BL","","Mocassins en Suède pour Dames : Pointure - 8","1","41.50","96.00","7298","1103"
"Ladies Suede Moccasins","5000-0008-12BL-1493BL","","Mocassins en Suède pour Dames : Pointure - 9","1","41.50","96.00","7299","1103"
"Ladies Suede Moccasins","5000-0008-12BL-1493BL","","Mocassins en Suède pour Dames : Pointure - 10","0","41.50","96.00","7300","1103"
"Ladies Suede Moccasins","5000-0008-12BL-1493BL","","Mocassins en Suède pour Dames : Pointure - 12","0","41.50","96.00","7301","1103"
"Ladies Suede Moccasins","5000-0400-00-748IND","","Mocassins en Suède pour Dames : Pointure - 4","0","32.40","75.00","6228","1417"
"Ladies Suede Moccasins","5000-0400-00-748IND","","Mocassins en Suède pour Dames : Pointure - 5","1","32.40","75.00","6229","1417"
"Ladies Suede Moccasins","5000-0400-00-748IND","","Mocassins en Suède pour Dames : Pointure - 6","0","32.40","75.00","6230","1417"
"Ladies Suede Moccasins","5000-0400-00-748IND","","Mocassins en Suède pour Dames : Pointure - 9","0","32.40","75.00","6233","1417"
"Ladies Suede Moccasins","5000-0400-00-748IND","","Mocassins en Suède pour Dames : Pointure - 12","0","32.40","75.00","6236","1417"
"Ladies Suede Moccasins","5000-0400-00-748IND","","Mocassins en Suède pour Dames : Pointure - 7","1","32.40","75.00","7345","1417"
