"Product name","Reference code","Combinations Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations wholesale price","Product Combinations ID","Product ID","Specific Price ID_1"
"Wristlet, Raven","SKU: 54-54-350","","0","24.00","56.00","0.00","4068","1142",""
"Leather Wallet","46050","","8","9.25","24.00","0.00","11672","9058",""
"Leather Wallet","46050","","5","9.25","24.00","0.00","11673","9058",""
"Leather Wallet","46050","","4","9.25","24.00","0.00","11674","9058",""
"Reuben Tote Bag ""Water and Spirit Buffalo""","W13023-UAC0301NC16A","","0","21.00","49.00","0.00","","12105",""
"Reuben Tote Bag ""Silent Seekers""","A16058-UAC0301NC04A","","1","21.00","49.00","0.00","","12163","406"
"Lou Pouch ""Merging Earth and Sky""","UAC6901NC01A","","3","10.50","29.00","0.00","","14742",""
"Lou Pouch ""Refuge""","UAC6901NC0YA","","3","10.50","29.00","0.00","","14743",""
"Lou Pouch ""Reaching Out""","UAC6901NC1HA","","4","10.50","29.00","0.00","","14748",""
"Lou Pouch ""Carried Away Under The Blue Moon""","UAC6901NCIJA","","2","10.50","29.00","0.00","","14751",""
"Maxime Bag ""Quintessence""","UAC6501NCCHA","","2","27.50","65.00","0.00","","14757",""
"Lou Pouch ""Quintessence""","UAC6401NC1IA","","3","10.50","29.00","0.00","","14946",""
"Maxime Bag ""New Day""","UAC6501NC0FA","","2","27.50","65.00","0.00","","16263",""
"Suede Tote Bag ""Gezaluwejit""","UAC7001NCOTA","","2","29.00","69.00","0.00","","16569",""
"Suede Pouch ""Depth""","UAC71001NC02A","","3","11.00","29.00","0.00","","16575",""
"Suede Pouch ""Gezaluwejit""","UAC71001NC0TA","","2","11.00","29.00","0.00","","16576",""
"Leather Card Holder","222","","4","7.75","18.00","0.00","12853","16596",""
"Leather Card Holder","222","","3","7.75","18.00","0.00","12854","16596",""
"Leather Wallet","560","","11","8.75","22.00","0.00","12855","16598",""
"Leather Wallet","560","","12","8.75","22.00","0.00","12856","16598",""
"Leather Medicine Pouch","7LX","","15","7.75","18.00","0.00","","16599",""
"Leather Medicine Pouch","8LX","","6","9.75","23.00","0.00","13452","16600",""
"Leather Medicine Pouch","8LX","","9","9.75","23.00","0.00","13453","16600",""
"Embroided Coin Purse","JRCPB","","6","20.00","42.00","0.00","","17279",""
