"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax wholesale price"
"Ookpik","11182","Ookpik","9193","0","69.00","0.00"
"Ookpik","11182","Ookpik","9194","2","99.00","0.00"
"Papoose","11183","Papoose","","2","35.00","0.00"
"DCV30","11462","DCV30 ""Woodland""","","3","12.95","0.00"
"Collier-Totem","11678","Totem Animal Necklace","","44","9.95","0.00"
"MM11","11732","Key Chain","9225","6","7.95","0.00"
"MM11","11732","Key Chain","9226","3","7.95","0.00"
"MM11","11732","Key Chain","9227","0","7.95","0.00"
"MM11","11732","Key Chain","9228","2","7.95","0.00"
"MF2-12","11734","Feathers for Cars","","12","5.95","0.00"
"Fab-6","11819","6 Ornaments","","14","15.00","0.00"
"Fab-13C","11822","13C Candle Holder Bone","","12","36.00","0.00"
"Fab-Buttons","11823","Buttons","","13","5.00","0.00"
"NE-Stones","12390","Stones - Tumbled","","129","0.95","0.00"
"Totem-Magnet","12462","Totem Animal Magnet","","26","7.50","0.00"
"Totem-Keychain","12464","Totem Animal Keychain","","12","7.50","0.00"
"Velvet Pouch","12632","Velvet Pouch","","130","0.30","0.00"
"Kayo-Tea","12634","Kayo-Tea","","24","8.00","0.00"
"C-Rings","12686","Semi-Precious Transparent Rings","","27","12.95","0.00"
"Fab-3A","12747","3A Necklace on Cardboard - Arrow","","9","10.50","0.00"
"Fab-12D","12748","12D Bowl Medium with Bird","","6","36.00","0.00"
"DC1010","12774","DC1010 Earrings","9656","2","16.95","0.00"
"DC1010","12774","DC1010 Earrings","9657","2","16.95","0.00"
"DC1010","12774","DC1010 Earrings","9658","6","16.95","0.00"
"DC1010","12774","DC1010 Earrings","9659","2","16.95","0.00"
"DC1010-P","12775","DC1010 Pendant","9660","15","10.95","0.00"
"DC1010-P","12775","DC1010 Pendant","9661","12","10.95","0.00"
"DC1010-P","12775","DC1010 Pendant","9662","18","10.95","0.00"
"DC1010-P","12775","DC1010 Pendant","9663","0","10.95","0.00"
"DC15-P","12776","DC15 Pendant","","28","8.95","0.00"
"DC15M-P","12777","DC15M Pendant","","8","9.95","0.00"
"DC2-P","12778","DC2 Pendant","","35","9.95","0.00"
"DC23-P","12779","DC23 Pendant","","6","10.95","0.00"
"DC24-P","12780","DC24 Pendant","","6","10.95","0.00"
"DC10-P","12781","DC10 Pendentif","","10","7.95","0.00"
"DC17","12783","DC17 Earrings","","10","16.95","0.00"
"DC2","12784","DC2 Earrings","","30","14.95","0.00"
"DC15","12785","DC15 Earrings","","5","10.95","0.00"
"DC10","12786","DC10 Earrings","","3","10.95","0.00"
"DC15M","12787","DC15M Earrings","","2","12.95","0.00"
"VE1-17X","12788","Vintage Earrings","","6","17.95","0.00"
