"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2931","Size - XL","1","129.00","52.50"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2942","Size - XS","0","129.00","52.50"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2943","Size - S","0","129.00","52.50"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2944","Size - M","1","129.00","52.50"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2945","Size - L","1","129.00","52.50"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2946","Size - XL","0","129.00","52.50"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2922","Size - XS","0","129.00","52.50"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2923","Size - S","1","129.00","52.50"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2924","Size - M","1","129.00","52.50"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2925","Size - L","1","129.00","52.50"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2926","Size - XL","1","129.00","52.50"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3277","Size - XS","1","129.00","60.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3278","Size - S","1","129.00","60.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3279","Size - M","0","129.00","60.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3280","Size - L","0","129.00","60.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3281","Size - XL","0","129.00","60.00"
"A16059-MSS0701NC0DA","952","Salvadore Tee for Men ""Early Evening Flowing Into Fall""","3342","Size - XS","0","89.00","36.00"
"A16059-MSS0701NC0DA","952","Salvadore Tee for Men ""Early Evening Flowing Into Fall""","3343","Size - S","0","89.00","36.00"
"A16059-MSS0701NC0DA","952","Salvadore Tee for Men ""Early Evening Flowing Into Fall""","3344","Size - M","1","89.00","36.00"
"A16059-MSS0701NC0DA","952","Salvadore Tee for Men ""Early Evening Flowing Into Fall""","3345","Size - L","1","89.00","36.00"
"A16059-MSS0701NC0DA","952","Salvadore Tee for Men ""Early Evening Flowing Into Fall""","3346","Size - XL","1","89.00","36.00"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2947","Size - XS","1","129.00","52.50"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2948","Size - S","0","129.00","52.50"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2949","Size - M","1","129.00","52.50"
