"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Pre-tax retail price","Show price","Unit price (tax excl.)","Unit price (per)"
"193","932","Leather Moccasins for Men","12336","Shoe Size - 8","0","122.00","52.50","0.00","1","0.00",""
"193","932","Leather Moccasins for Men","12337","Shoe Size - 9","0","122.00","52.50","0.00","1","0.00",""
"193","932","Leather Moccasins for Men","12338","Shoe Size - 10","0","122.00","52.50","0.00","1","0.00",""
"193","932","Leather Moccasins for Men","12339","Shoe Size - 11","0","122.00","52.50","0.00","1","0.00",""
"193","932","Leather Moccasins for Men","12340","Shoe Size - 12","0","122.00","52.50","0.00","1","0.00",""
"193","932","Leather Moccasins for Men","12341","Shoe Size - 13","0","122.00","52.50","0.00","1","0.00",""
"B489","1044","Leather Moccasins for Men","2744","Shoe Size - 7","3","108.00","58.50","0.00","1","0.00",""
"B489","1044","Leather Moccasins for Men","2745","Shoe Size - 8","0","108.00","58.50","0.00","1","0.00",""
"B489","1044","Leather Moccasins for Men","2746","Shoe Size - 10","0","108.00","58.50","0.00","1","0.00",""
"B489","1044","Leather Moccasins for Men","2748","Shoe Size - 12","4","108.00","58.50","0.00","1","0.00",""
"B489","1044","Leather Moccasins for Men","2749","Shoe Size - 13","6","108.00","58.50","0.00","1","0.00",""
"B489","1044","Leather Moccasins for Men","5997","Shoe Size - 9","0","108.00","58.50","0.00","1","0.00",""
"B489","1044","Leather Moccasins for Men","7216","Shoe Size - 6","0","108.00","58.50","0.00","1","0.00",""
"B489","1044","Leather Moccasins for Men","7217","Shoe Size - 14","6","118.00","58.50","0.00","1","0.00",""
"B489","1044","Leather Moccasins for Men","7218","Shoe Size - 15","0","118.00","58.50","0.00","1","0.00",""
"B489","1044","Leather Moccasins for Men","7219","Shoe Size - 11","2","108.00","58.50","0.00","1","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3663","Shoe Size - 6","0","174.00","73.70","0.00","1","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3664","Shoe Size - 7","2","174.00","73.70","0.00","1","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3665","Shoe Size - 8","1","174.00","73.70","0.00","1","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3668","Shoe Size - 11","1","174.00","73.70","0.00","1","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3670","Shoe Size - 13","1","174.00","73.70","0.00","1","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","6905","Shoe Size - 14","0","174.00","73.70","0.00","1","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","7286","Shoe Size - 9","1","174.00","73.70","0.00","1","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","7287","Shoe Size - 10","1","174.00","73.70","0.00","1","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","7288","Shoe Size - 12","1","174.00","73.70","0.00","1","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","7289","Shoe Size - 15","0","174.00","73.70","0.00","1","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3683","Shoe Size - 6","0","170.00","73.70","170.00","1","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3685","Shoe Size - 8","1","170.00","73.70","170.00","1","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3686","Shoe Size - 9","1","170.00","73.70","170.00","1","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3689","Shoe Size - 12","1","170.00","73.70","170.00","1","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3690","Shoe Size - 13","1","170.00","73.70","170.00","1","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7290","Shoe Size - 7","1","170.00","73.70","170.00","1","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7291","Shoe Size - 10","1","170.00","73.70","170.00","1","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7292","Shoe Size - 11","1","170.00","73.70","170.00","1","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7293","Shoe Size - 14","1","170.00","73.70","170.00","1","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7294","Shoe Size - 15","0","170.00","73.70","170.00","1","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3718","Shoe Size - 6","0","125.00","54.30","125.00","1","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3719","Shoe Size - 7","1","125.00","54.30","125.00","1","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3720","Shoe Size - 8","1","125.00","54.30","125.00","1","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3721","Shoe Size - 9","1","125.00","54.30","125.00","1","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3722","Shoe Size - 10","0","125.00","54.30","125.00","1","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3723","Shoe Size - 11","2","125.00","54.30","125.00","1","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","3724","Shoe Size - 12","1","125.00","54.30","125.00","1","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","6907","Shoe Size - 15","0","125.00","54.30","125.00","1","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","7302","Shoe Size - 13","1","125.00","54.30","125.00","1","0.00",""
"6080-0408-41BL-653","1105","Suede Slippers for Men","7303","Shoe Size - 14","1","125.00","54.30","125.00","1","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3735","Shoe Size - 6","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3736","Shoe Size - 7","2","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3737","Shoe Size - 8","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3738","Shoe Size - 9","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3739","Shoe Size - 10","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3740","Shoe Size - 11","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3741","Shoe Size - 12","1","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3742","Shoe Size - 13","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","7304","Shoe Size - 14","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","7305","Shoe Size - 15","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3755","Shoe Size - 6","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3756","Shoe Size - 7","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3757","Shoe Size - 8","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3758","Shoe Size - 9","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3759","Shoe Size - 10","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3760","Shoe Size - 11","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3761","Shoe Size - 12","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3762","Shoe Size - 13","0","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3763","Shoe Size - 14","1","98.00","42.60","98.00","1","0.00",""
"5000-0000-27-78DKTCK","1107","Suede Moccasins for Men","3764","Shoe Size - 15","0","98.00","42.60","98.00","1","0.00",""
"3700-0970-24-37599CKRK","1116","Conchos for Men","3843","Shoe Size - 8","0","210.00","90.10","210.00","1","0.00",""
"3700-0970-24-37599CKRK","1116","Conchos for Men","7540","Shoe Size - 7","0","210.00","90.10","210.00","1","0.00",""
"3700-0970-24-37599CKRK","1116","Conchos for Men","7541","Shoe Size - 9","0","210.00","90.10","210.00","1","0.00",""
"3700-0970-24-37599CKRK","1116","Conchos for Men","7542","Shoe Size - 10","0","210.00","90.10","210.00","1","0.00",""
"3700-0970-24-37599CKRK","1116","Conchos for Men","7543","Shoe Size - 11","0","210.00","90.10","210.00","1","0.00",""
"3700-0970-24-37599CKRK","1116","Conchos for Men","7544","Shoe Size - 12","0","210.00","90.10","210.00","1","0.00",""
"3700-0970-24-37599CKRK","1116","Conchos for Men","7545","Shoe Size - 13","0","210.00","90.10","210.00","1","0.00",""
"3700-0970-24-37599CKRK","1116","Conchos for Men","7546","Shoe Size - 14","0","210.00","90.10","210.00","1","0.00",""
"3700-0970-24-37599CKRK","1116","Conchos for Men","7547","Shoe Size - 15","0","210.00","90.10","210.00","1","0.00",""
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6123","Shoe Size - 6","0","99.95","43.40","99.95","1","0.00",""
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6124","Shoe Size - 7","0","99.95","43.40","99.95","1","0.00",""
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6125","Shoe Size - 8","0","99.95","43.40","99.95","1","0.00",""
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6126","Shoe Size - 9","0","99.95","43.40","99.95","1","0.00",""
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6127","Shoe Size - 10","0","99.95","43.40","99.95","1","0.00",""
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6128","Shoe Size - 11","0","99.95","43.40","99.95","1","0.00",""
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6129","Shoe Size - 12","0","99.95","43.40","99.95","1","0.00",""
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6130","Shoe Size - 13","0","99.95","43.40","99.95","1","0.00",""
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6131","Shoe Size - 14","0","99.95","43.40","99.95","1","0.00",""
"5100-0700-27-7710SM","1403","Suede Moccasins for Men","6132","Shoe Size - 15","0","99.95","43.40","99.95","1","0.00",""
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6133","Shoe Size - 6","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6134","Shoe Size - 7","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6135","Shoe Size - 8","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6136","Shoe Size - 9","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6137","Shoe Size - 10","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6138","Shoe Size - 11","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6139","Shoe Size - 12","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6140","Shoe Size - 13","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6141","Shoe Size - 14","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563DT","1405","Leather Moccasins for Men","6142","Shoe Size - 15","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6143","Shoe Size - 6","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6144","Shoe Size - 7","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6145","Shoe Size - 8","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6146","Shoe Size - 9","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6147","Shoe Size - 10","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6148","Shoe Size - 11","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6149","Shoe Size - 12","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6150","Shoe Size - 13","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6151","Shoe Size - 14","0","140.00","60.70","140.00","1","0.00",""
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6152","Shoe Size - 15","0","140.00","60.70","140.00","1","0.00",""
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","6158","Shoe Size - 11","0","106.00","45.90","106.00","1","0.00",""
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7306","Shoe Size - 12","0","106.00","45.90","106.00","1","0.00",""
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7307","Shoe Size - 13","0","106.00","45.90","106.00","1","0.00",""
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7308","Shoe Size - 14","0","106.00","45.90","106.00","1","0.00",""
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7309","Shoe Size - 15","0","106.00","45.90","106.00","1","0.00",""
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7310","Shoe Size - 6","0","106.00","45.90","106.00","1","0.00",""
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7311","Shoe Size - 7","0","106.00","45.90","106.00","1","0.00",""
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7312","Shoe Size - 8","0","106.00","45.90","106.00","1","0.00",""
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7313","Shoe Size - 9","0","106.00","45.90","106.00","1","0.00",""
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7314","Shoe Size - 10","0","106.00","45.90","106.00","1","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","6166","Shoe Size - 9","1","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","6167","Shoe Size - 10","2","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","6169","Shoe Size - 12","1","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7315","Shoe Size - 6","0","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7316","Shoe Size - 7","0","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7317","Shoe Size - 8","0","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7318","Shoe Size - 11","1","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7319","Shoe Size - 13","0","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7320","Shoe Size - 14","0","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7321","Shoe Size - 15","0","143.00","62.00","143.00","1","0.00",""
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6171","Shoe Size - 6","0","98.00","42.00","98.00","1","0.00",""
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6172","Shoe Size - 7","0","98.00","42.00","98.00","1","0.00",""
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6173","Shoe Size - 8","0","98.00","42.00","98.00","1","0.00",""
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6174","Shoe Size - 9","0","98.00","42.00","98.00","1","0.00",""
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6175","Shoe Size - 10","0","98.00","42.00","98.00","1","0.00",""
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6176","Shoe Size - 11","0","98.00","42.00","98.00","1","0.00",""
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6177","Shoe Size - 12","0","98.00","42.00","98.00","1","0.00",""
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6178","Shoe Size - 13","0","98.00","42.00","98.00","1","0.00",""
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6179","Shoe Size - 14","0","98.00","42.00","98.00","1","0.00",""
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6180","Shoe Size - 15","0","98.00","42.00","98.00","1","0.00",""
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","6181","Shoe Size - 6","0","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","6182","Shoe Size - 7","0","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","6183","Shoe Size - 8","0","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","6184","Shoe Size - 9","0","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","6185","Shoe Size - 10","0","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","6186","Shoe Size - 11","0","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","6187","Shoe Size - 12","1","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","6188","Shoe Size - 13","0","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","7322","Shoe Size - 14","0","143.00","62.00","143.00","1","0.00",""
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","7323","Shoe Size - 15","0","143.00","62.00","143.00","1","0.00",""
"5100-0000-41-3107CK","1411","Leather Moccasins for Men","6087","Shoe Size - 12","0","109.00","47.20","109.00","1","0.00",""
"5100-0000-41-3107CK","1411","Leather Moccasins for Men","6088","Shoe Size - 13","0","109.00","47.20","109.00","1","0.00",""
"5100-0000-41-3107CK","1411","Leather Moccasins for Men","6089","Shoe Size - 14","0","109.00","47.20","109.00","1","0.00",""
"5100-0000-41-3107CK","1411","Leather Moccasins for Men","7324","Shoe Size - 6","0","109.00","47.20","109.00","1","0.00",""
"5100-0000-41-3107CK","1411","Leather Moccasins for Men","7325","Shoe Size - 7","0","109.00","47.20","109.00","1","0.00",""
"5100-0000-41-3107CK","1411","Leather Moccasins for Men","7326","Shoe Size - 8","0","109.00","47.20","109.00","1","0.00",""
"5100-0000-41-3107CK","1411","Leather Moccasins for Men","7327","Shoe Size - 9","0","109.00","47.20","109.00","1","0.00",""
"5100-0000-41-3107CK","1411","Leather Moccasins for Men","7328","Shoe Size - 10","0","109.00","47.20","109.00","1","0.00",""
"5100-0000-41-3107CK","1411","Leather Moccasins for Men","7329","Shoe Size - 15","0","109.00","47.20","109.00","1","0.00",""
"5100-0000-41-3107CK","1411","Leather Moccasins for Men","10507","Shoe Size - 11","0","109.00","47.20","109.00","1","0.00",""
"5000-0400-00-749DKT","1412","Suede Moccasins for Men","6093","Shoe Size - 7","0","85.00","36.70","85.00","1","0.00",""
"5000-0400-00-749DKT","1412","Suede Moccasins for Men","6094","Shoe Size - 8","0","85.00","36.70","85.00","1","0.00",""
"5000-0400-00-749DKT","1412","Suede Moccasins for Men","6095","Shoe Size - 9","0","85.00","36.70","85.00","1","0.00",""
"5000-0400-00-749DKT","1412","Suede Moccasins for Men","6096","Shoe Size - 10","0","85.00","36.70","85.00","1","0.00",""
"5000-0400-00-749DKT","1412","Suede Moccasins for Men","6097","Shoe Size - 11","0","85.00","36.70","85.00","1","0.00",""
"5000-0400-00-749DKT","1412","Suede Moccasins for Men","6098","Shoe Size - 12","0","85.00","36.70","85.00","1","0.00",""
"5000-0400-00-749DKT","1412","Suede Moccasins for Men","6099","Shoe Size - 13","0","85.00","36.70","85.00","1","0.00",""
"5000-0400-00-749DKT","1412","Suede Moccasins for Men","6100","Shoe Size - 14","0","85.00","36.70","85.00","1","0.00",""
"5000-0400-00-749DKT","1412","Suede Moccasins for Men","6101","Shoe Size - 15","0","85.00","36.70","85.00","1","0.00",""
"5000-0400-00-749DKT","1412","Suede Moccasins for Men","6102","Shoe Size - 6","0","85.00","36.70","85.00","1","0.00",""
"5000-0500-41-2474DT","1413","Leather Moccasins for Men","6110","Shoe Size - 14","0","148.00","64.00","148.00","1","0.00",""
"5000-0500-41-2474DT","1413","Leather Moccasins for Men","7330","Shoe Size - 12","0","148.00","64.00","148.00","1","0.00",""
"5000-0500-41-2474DT","1413","Leather Moccasins for Men","7331","Shoe Size - 13","0","148.00","64.00","148.00","1","0.00",""
"5000-0500-41-2474DT","1413","Leather Moccasins for Men","7332","Shoe Size - 15","0","148.00","64.00","148.00","1","0.00",""
"5000-0500-41-2474DT","1413","Leather Moccasins for Men","7333","Shoe Size - 6","0","148.00","64.00","148.00","1","0.00",""
"5000-0500-41-2474DT","1413","Leather Moccasins for Men","7334","Shoe Size - 7","0","148.00","64.00","148.00","1","0.00",""
"5000-0500-41-2474DT","1413","Leather Moccasins for Men","7335","Shoe Size - 8","0","148.00","64.00","148.00","1","0.00",""
"5000-0500-41-2474DT","1413","Leather Moccasins for Men","7336","Shoe Size - 9","0","148.00","64.00","148.00","1","0.00",""
"5000-0500-41-2474DT","1413","Leather Moccasins for Men","7337","Shoe Size - 10","0","148.00","64.00","148.00","1","0.00",""
"5000-0500-41-2474DT","1413","Leather Moccasins for Men","7338","Shoe Size - 11","0","148.00","64.00","148.00","1","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","6190","Shoe Size - 7","0","125.00","54.30","125.00","1","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","6191","Shoe Size - 8","0","125.00","54.30","125.00","1","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","6193","Shoe Size - 10","2","125.00","54.30","125.00","1","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","6196","Shoe Size - 13","2","125.00","54.30","125.00","1","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","7339","Shoe Size - 6","0","125.00","54.30","125.00","1","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","7340","Shoe Size - 9","1","125.00","54.30","125.00","1","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","7341","Shoe Size - 11","2","125.00","54.30","125.00","1","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","7342","Shoe Size - 12","2","125.00","54.30","125.00","1","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","7343","Shoe Size - 14","0","125.00","54.30","125.00","1","0.00",""
"6080-0400-41IND-648","1414","Suede Slippers for Men","7344","Shoe Size - 15","0","125.00","54.30","125.00","1","0.00",""
"989","1426","Suede Moccasins for Men","6379","Shoe Size - 8","2","109.00","59.00","0.00","1","0.00",""
"989","1426","Suede Moccasins for Men","6380","Shoe Size - 9","0","109.00","59.00","0.00","1","0.00",""
"989","1426","Suede Moccasins for Men","7371","Shoe Size - 4","0","109.00","59.00","0.00","1","0.00",""
"989","1426","Suede Moccasins for Men","7372","Shoe Size - 5","0","109.00","59.00","0.00","1","0.00",""
"989","1426","Suede Moccasins for Men","7373","Shoe Size - 6","0","109.00","59.00","0.00","1","0.00",""
"989","1426","Suede Moccasins for Men","7374","Shoe Size - 7","0","109.00","59.00","0.00","1","0.00",""
"989","1426","Suede Moccasins for Men","7375","Shoe Size - 10","0","109.00","59.00","0.00","1","0.00",""
"989","1426","Suede Moccasins for Men","7532","Shoe Size - 11","1","109.00","59.00","0.00","1","0.00",""
"989","1426","Suede Moccasins for Men","7533","Shoe Size - 12","0","109.00","59.00","0.00","1","0.00",""
"989","1426","Suede Moccasins for Men","7534","Shoe Size - 13","0","109.00","59.00","0.00","1","0.00",""
"1973","1427","Suede Moccasins for Men","6398","Shoe Size - 7","0","110.00","47.50","0.00","1","0.00",""
"1973","1427","Suede Moccasins for Men","7376","Shoe Size - 6","0","110.00","47.50","0.00","1","0.00",""
"1973","1427","Suede Moccasins for Men","7377","Shoe Size - 8","0","110.00","47.50","0.00","1","0.00",""
"1973","1427","Suede Moccasins for Men","7378","Shoe Size - 9","0","110.00","47.50","0.00","1","0.00",""
"1973","1427","Suede Moccasins for Men","7379","Shoe Size - 10","0","110.00","47.50","0.00","1","0.00",""
"1973","1427","Suede Moccasins for Men","7380","Shoe Size - 11","0","110.00","47.50","0.00","1","0.00",""
