"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Pre-tax retail price","Combinations (Attribute - value pair)"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1443","0","139.00","Size - L"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1444","1","139.00","Size - XL"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3312","1","89.00","Size - XS"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3313","1","89.00","Size - S"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3314","1","89.00","Size - M"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3315","1","89.00","Size - L"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3316","1","89.00","Size - XL"
"W12018-WSS0701NC0DB","895","Yoko Cape Tunic ""Early Evening Flowing into Fall""","3197","1","139.00","Size - XS"
"W12018-WSS0701NC0DB","895","Yoko Cape Tunic ""Early Evening Flowing into Fall""","3198","0","139.00","Size - S"
"W12018-WSS0701NC0DB","895","Yoko Cape Tunic ""Early Evening Flowing into Fall""","3199","0","139.00","Size - M"
"W12018-WSS0701NC0DB","895","Yoko Cape Tunic ""Early Evening Flowing into Fall""","3200","0","139.00","Size - L"
"W12018-WSS0701NC0DB","895","Yoko Cape Tunic ""Early Evening Flowing into Fall""","3201","1","139.00","Size - XL"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3037","1","169.00","Size - XS"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3038","1","169.00","Size - S"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3039","0","169.00","Size - M"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3040","0","169.00","Size - L"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3041","0","169.00","Size - XL"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3107","1","149.00","Size - XS"
