"Product name","Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"Vivienne Scarf ""Horizon""","W17062-WAC0201NC0GC","0","23.00","59.00","","996"
"Vivienne Scarf ""New Day""","A08013-WAC0201NC0FC","0","23.00","59.00","","997"
"Vivienne Scarf ""Whisper""","A08011-WAC0201NC0HB","0","23.00","59.00","","998"
"Vivienne Scarf ""Wisdom Keepers""","A16059-WAC0201NC0IA","73","23.00","59.00","","999"
"Kate Dress ""Wisdom Keepers""","A16059-WDR2601NC01B","0;4;2;1;0","64.50","169.00","3067;3068;3069;3070;3071","1006"
"Duncan Shawl ""Early Evening Flowing into Fall""","W12018-WAC0401NCODB","0","67.00","69.00","","1008"
"Kate Dress ""Northern Masters""","W18053-WDR2601NC0JB","0;0;0;0;0","64.50","169.00","3077;3078;3079;3080;3081","1014"
"Michelle II Dress ""M'Otter Love""","A17064-WDR4101NC03A","1;1;0;0;3","67.50","159.00","6855;6856;6857;6858;6859","2910"
"Vivienne Scarf ""Under the Same Sky""","A14051-WAC0201NC0TA","53","23.00","59.00","","4864"
"Vivienne Scarf ""Gezaluwejit""","A14051-WAC0201NC0UA","0","23.00","59.00","","4865"
"Kate Dress ""Gezaluwejit""","A14051-WDR2601NC0TA","0;0;0;0;0","64.50","169.00","7985;7986;7987;7988;7989","4871"
"Kate Dress ""Under the Same Sky""","A18066-WDR2601NC0UA","0;0;0;0;0","64.50","169.00","7990;7991;7992;7993;7994","4872"
"Felicia ""The River Keeper""","A09006-WDR3801NC0VA","0;0;0;0;0","62.00","149.00","8322;8323;8324;8325;8326","8967"
"Felicia ""Refuge""","A20055-WDR3801NC0YA","0;0;0;0;0","62.00","149.00","8327;8328;8329;8330;8331","8968"
"Felicia ""Earth Keeper""","A12005-WDR3801NC0WA","0;0;0;0;0","62.00","149.00","8332;8333;8334;8335;8336","8969"
"Felicia ""Honoring the Giver of Life""","A01031-WDR3801NC0XA","0;0;0;0;0","62.00","149.00","8337;8338;8339;8340;8341","8970"
"Felicia ""Depth""","A17063-WDR3801NC02A","0;0;0;0;0","62.00","149.00","8342;8343;8344;8345;8346","8971"
"Amanda II ""Earth Keeper""","W12005-WDR4001NC0WA","0;0;0;0;0","50.00","119.00","8347;8348;8349;8350;8351","8973"
"Amanda II ""Refuge""","W20055-WDR4001NC0YA","0;0;0;0;0","50.00","119.00","8352;8353;8354;8355;8356","8974"
"Amanda II ""Honoring the Giver of Life""","W01031-WDR4001NC0XA","0;0;0;0;0","50.00","119.00","8357;8358;8359;8360;8361","8975"
"Felicia ""Gezaluwejit""","A14051-WDR3801NC0TA","0;0;0;0;0","62.00","149.00","8362;8363;8364;8365;8366","8976"
"Daniela Maxi ""Gezaluwejit""","A14051-WDR4201NC0TA","0;0;0;0;0","89.00","199.00","8367;8368;8369;8370;8371","8977"
"Daniela Maxi ""Under the Same Sky""","A18066-WDR4201NC0UA","0;0;0;0;0","89.00","199.00","8372;8373;8374;8375;8376","8978"
"Vivienne Scarf ""Refuge""","A18066-WAC0201NC0UA","0","23.00","59.00","","9038"
"Alice Neck Warmer ""Under the Same Sky""","A18066-UAC1101NC0UA","0","16.58","59.00","","9046"
"Olivia Dress ""Earth Keeper""","A12005-WDR4501NC0WA","0;0;0;0;0","76.00","159.00","8482;8483;8484;8485;8486","9049"
"Vivienne Scarf ""Teachings""","A01036-WAC0201NC0ZA","0","23.00","59.00","","9064"
"Vivienne Scarf ""Water and Spirit Buffalo at Sunset""","W13023-WAC0501NC11A","0","20.00","59.00","","9854"
"Vivienne Scarf ""Water and Spirit Buffalo at Moonrise""","W13023-WAC0501NC12A","0","20.00","59.00","","9856"
"Vivienne Scarf ""Rebirth""","A04015-WAC0501NC14A","0","20.00","59.00","","9857"
"Vivienne Scarf ""Unity""","A08019-WAC0501NC13A","0","20.00","59.00","","9858"
"Kate Dress ""Water and Spirit Buffalo at Sunset""","W13023-WDR2601NC11A","0;0;0;0;0","64.50","169.00","8603;8604;8605;8606;8607","9860"
"Kate Dress ""Rebirth""","A04015-WDR2601NC14A","0;0;0;0;0","64.50","169.00","8608;8609;8610;8611;8612","9861"
"Felicia ""Water and Spirit Buffalo at Moonrise""","W13023-WDR3801NC12A","0;0;0;0;0","62.00","149.00","8618;8619;8620;8621;8622","9863"
"Olivia Dress ""Unity""","A08019-WDR4501NC13A","1;0;0;0;0","76.00","159.00","8678;8679;8680;8681;8682","9898"
"Lea Dress ""Rebirth""","A04015-WDR4701NC14A","0;0;0;0;0","68.50","149.00","8718;8719;8720;8721;8722","9908"
"Carrie Dress ""Rebirth""","A04015-WDR4901NC14A","0;0;0;0;0","78.50","149.00","8723;8724;8725;8726;8727","9909"
"Carrie Dress ""Unity""","A08019-WDR4901NC13A","0;0;0;0;0","78.50","149.00","8728;8729;8730;8731;8732","9910"
"Felicia ""Silent Seekers""","A16058-WDR3801NC04A","0;0;0;0;0","62.00","149.00","9095;9096;9097;9098;9099","10394"
"Alice Neck Warmer ""Refuge""","A20055-UAC1101NC0YA","0","16.58","59.00","","12063"
"Alice Neck Warmer ""Earth Keeper""","A12005-UAC1101NC0WA","0","16.58","59.00","","12064"
"Sophia ""Inner Memories""","W13047-WDR4301NC17A","0;0;0;0;0","69.00","179.00","9424;9425;9426;9427;9428","12085"
"Sophia ""Early Evening Flowing into Fall""","W12018-WDR4301NC0DA","0;0;0;0;0","69.00","179.00","9429;9430;9431;9432;9433","12087"
"Sophia ""The Forest Temple""","W11065-WDR4301NC0CA","0;0;0;0;0","69.00","179.00","9434;9435;9436;9437;9438","12088"
"Sophia ""Zenith""","W16052-WDR4301NC0BA","0;0;0;0;0","69.00","179.00","9439;9440;9441;9442;9443","12089"
"Sophia ""Earth Keeper""","W12005-WDR4301NC0WA","0;0;0;0;0","69.00","179.00","9444;9445;9446;9447;9448","12090"
"Victoire ""Inner Memories""","W13047-WDR5301NC17B","0;0;0;0;0","61.50","159.00","9449;9450;9451;9452;9453","12098"
"Victoire ""Lapinx""","W13041-WDR5301NC0EB","0;0;0;0;0","61.50","159.00","9454;9455;9456;9457;9458","12101"
"Victoire ""Depth""","W17063-WDR5301NC02A","0;0;0;0;0","61.50","159.00","9459;9460;9461;9462;9463","12102"
"Victoire ""Zenith""","W16052-WDR5301NC0BA","0;0;0;0;0","61.50","159.00","9464;9465;9466;9467;9468","12103"
"Victoire ""Merging Earth and Sky""","W10004-WDR5301NC01A","0;0;0;0;0","61.50","159.00","9469;9470;9471;9472;9473","12104"
"Sophia ""Earth Keeper"" Plus Size","W12005-WDR4401NC0WA","0;0;0","73.00","179.00","9518;9519;9517","12188"
"Alice Neck Warmer ""Motter Love""","A17064-UAC1101NC03A","0","16.58","59.00","","13111"
"Alice Neck Warmer ""Silent Seekers""","A16058-UAC1101NC04A","0","16.58","59.00","","13112"
"Marina Beach ""Inner Memories""","W13047-RES0101NC17A","0","46.00","109.00","","14013"
"Kate Dress ""Earth Keeper"" Plus Size","W12005-WDR5401NC0WA","0;1;0","81.50","169.00","10351;10352;10350","14095"
"Kate Dress ""Silent Seekers"" Plus Size","A16058-WDR5401NC04A","0;0;0","81.50","169.00","10353;10354;10355","14096"
"Elise Maxi ""Depth""","A17063-WDR4801NC02A","0;0;0;0;0","56.00","149.00","10369;10370;10371;10372;10373","14173"
"Elise Maxi ""Water and Spirit Buffalo""","W13023-WDR4801NC16A","0;0;0;0;0","56.00","149.00","10374;10375;10376;10377;10378","14174"
"Nora Scarf ""Carried Away Under The Blue Moon""","WAC0901NC1JA","0","26.00","69.00","","14760"
"Aspen Scarf ""Refuge""","SCA0201NC0YA","0","19.55","79.00","","14828"
"Aspen Scarf ""Carried Away Under The Blue Moon""","SCA0201NC1JA","0","19.55","79.00","","14829"
"Aspen Scarf ""Zenith""","SCA0201NC0BA","0","19.55","79.00","","14830"
"Aspen Scarf ""Silent Seekers""","SCA0201NC04A","0","19.55","79.00","","14832"
"Aspen Scarf ""Geese Spirit""","SCA0201NCIBA","0","19.55","79.00","","14833"
"Aspen Scarf ""Northern Keepers""","SCA0201NC05A","0","19.55","79.00","","14834"
"Aspen Scarf ""Early Evening Flowing Into Fall""","SCA0201NCODA","0","19.55","79.00","","15020"
"Aspen Scarf ""Wisdom Keepers""","SCA0201NC0IA","0","19.55","79.00","","15178"
"Kate Dress ""Unity""","A04015-WDR2601NC14A","0;0;0;0;0","64.50","169.00","11004;11005;11006;11007;11008","15206"
"Alice Neck Warmer ""Northern Keepers""","A16051-UAC1101NC05A","0","16.58","59.00","","15208"
"Michelle Dress ""Forest Temple""","A17065-WDR3201NC0CA","0;0;0;0;0","67.50","159.00","11019;11020;11021;11022;11023","15211"
"Michelle Dress ""Wisdom Keepers""","A16059-WDR3201NC0IB","0;0;0;0;0","67.50","159.00","11058;11059;11060;11061;11062","15225"
"Duncan Shawl ""Horizon""","W17062-WAC0201NC0GC","0","27.00","69.00","","15226"
"Jeanne Dress ""New Day""","A16059-WDR1001NC0FC","0;0;0;0;0","67.00","159.00","11078;11079;11080;11081;11082","15230"
"Kate Dress ""New Day""","A08013-WDR2601NC0FD","0;0;0;0;0","64.50","169.00","11110;11111;11112;11113;11114","15239"
"Michelle II Dress ""Lapinx""","A13041-WDR4101NC0EB","0;0;0;0;0","67.50","159.00","11145;11146;11147;11148;11149","15248"
"Lena Dress ""Geese Spirit""","WDR5801NC1BA","0;0;0;0;0","74.00","179.00","11717;11718;11719;11720;11721","15609"
"Lena Dress ""All My Relations""","WDR5801NC1KA","0;0;0;0;0","74.00","179.00","11722;11723;11724;11725;11726","15611"
"Lena Dress ""Carried Away Under the Blue Moon""","WDR5801NC1JA","0;0;0;0;0","74.00","179.00","11727;11728;11729;11730;11731","15612"
"Lena Dress ""Giving Thanks""","WDR5801NC08A","0;0;0;0;0","74.00","179.00","11732;11733;11734;11735;11736","15613"
"Lena Dress ""Inner Memories""","WDR5801NC17A","0;0;0;0;0","74.00","179.00","11737;11738;11739;11740;11741","15614"
"Lena Dress ""Silent Seekers""","WDR5801NC04A","0;0;0;0;0","74.00","179.00","11742;11743;11744;11745;11746","15615"
"Lena Dress ""Water and Spirit Buffalo at Sunset""","WDR5801NC11A","0;0;0;0;0","74.00","179.00","11747;11748;11749;11750;11751","15616"
"Lena Dress ""Water and Spirit Buffalo""","WDR5801NC09A","0;0;0;0;0","74.00","179.00","11752;11753;11754;11755;11756","15617"
"Lena Dress ""In Her World""","WDR5801NC1DA","0;0;0;0;0","74.00","179.00","11757;11758;11759;11760;11761","15618"
"Anais Dress ""Carried Away Under The Blue Moon""","WDR5701NC1JA","0;0;0;0;0","47.00","119.00","11762;11763;11764;11765;11766","15619"
"Anais Dress ""Geese Spirit""","WDR5701NC1BA","0;0;0;0;0","47.00","119.00","11772;11773;11774;11775;11776","15621"
"Katia Dress ""Carried Away under the Blue Moon""","WDR5901NC1JA","0;0;0;0;0","54.00","119.00","12524;12525;12526;12527;12528","16244"
"Kate Dress ""Geese Spirit""","WDR2601NC1BA","0;0;0;0;0","64.50","169.00","12376;12377;12378;12379;12380","16245"
"Vivienne Scarf ""Geese Spirit""","WAC0501NC1BA","0","20.00","59.00","","16267"
"Kate Dress ""Earth Keeper""","W12005-WDR2601NC0WA","0;0;0;0;0","64.50","169.00","12519;12520;12521;12522;12523","16278"
"Joni Cape Dress ""Lapinx""","WDR1101NC0EA","0;0;0;0;0","59.50","139.00","12820;12821;12822;12823;12824","16545"
"Joni Cape Dress ""Under The Same Sky""","WDR1101NC0UA","0;0;0;0;0","59.50","139.00","12825;12826;12827;12828;12829","16546"
"Joni Cape Dress ""Silent Seekers""","WDR1101NC04A","0;0;0;0;0","59.50","139.00","12830;12831;12832;12833;12834","16547"
