"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1368","Robe Kate ""Eau et Esprit du Bison"" : Taille - L","0","169.00"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1369","Robe Kate ""Eau et Esprit du Bison"" : Taille - XL","2","169.00"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1360","Robe Kate ""Voyage vers le Monde du Songe"" : Taille - XP","0","169.00"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1361","Robe Kate ""Voyage vers le Monde du Songe"" : Taille - P","1","169.00"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1362","Robe Kate ""Voyage vers le Monde du Songe"" : Taille - M","0","169.00"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1363","Robe Kate ""Voyage vers le Monde du Songe"" : Taille - L","0","169.00"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1364","Robe Kate ""Voyage vers le Monde du Songe"" : Taille - XL","1","169.00"
"A17063-WAC0201NC02A","845","Vivienne Scarf ""Depth""","","Foulard Vivienne ""Profondeur""","5","59.00"
"A17064-WAC0201NC03A","846","Vivienne Scarf ""M'Otter Love""","","Foulard Vivienne ""L'Outre Mère""","5","59.00"
"A16058-WAC0201NC04A","847","Vivienne Scarf ""Silent Seekers""","","Foulard Vivienne ""En Quête du Silence""","2","59.00"
"A16051-WAC0201NC05A","848","Vivienne Scarf ""Northern Keepers""","","Foulard Vivienne ""Gardiens du Nord""","2","59.00"
"A09006-WAC0201NC06A","849","Vivienne Scarf ""The River Keeper""","","Foulard Vivienne ""La Gardienne de l'Eau""","5","59.00"
"A01028-WAC0201NC08A","851","Vivienne Scarf ""Giving Thanks""","","Foulard Vivienne ""Rendre Grâce""","4","59.00"
"W13023-WAC0201NC09A","852","Vivienne Scarf ""Water and Spirit Buffalo""","","Foulard Vivienne ""Eau et Esprit du Bison""","2","59.00"
"A07020-WAC0201NC0AA","853","Vivienne Scarf ""Journey to the Spirit World""","","Foulard Vivienne ""Voyage Vers le Monde du Songe""","12","59.00"
"A16052-WAC0201NC0BA","854","Vivienne Scarf ""Zenith""","","Foulard Vivienne ""Zenith""","4","59.00"
"A17065-WAC0201NC0CA","855","Vivienne Scarf ""Forest Temple""","","Foulard Vivienne ""Temple de la Forêt""","5","59.00"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3177","Yoko Tunique ""Profondeur"" : Taille - XP","1","139.00"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3178","Yoko Tunique ""Profondeur"" : Taille - P","1","139.00"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3179","Yoko Tunique ""Profondeur"" : Taille - M","1","139.00"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3180","Yoko Tunique ""Profondeur"" : Taille - L","1","139.00"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3181","Yoko Tunique ""Profondeur"" : Taille - XL","1","139.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","1465","Yoko Tunique ""L'Outre Mère"" : Taille - XP","1","139.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2070","Yoko Tunique ""L'Outre Mère"" : Taille - P","1","139.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2071","Yoko Tunique ""L'Outre Mère"" : Taille - M","1","139.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2072","Yoko Tunique ""L'Outre Mère"" : Taille - L","1","139.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2073","Yoko Tunique ""L'Outre Mère"" : Taille - XL","1","139.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1460","Yoko Tunique ""En Quête de silence"" : Taille - XP","2","139.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1461","Yoko Tunique ""En Quête de silence"" : Taille - P","0","139.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1462","Yoko Tunique ""En Quête de silence"" : Taille - M","1","139.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1463","Yoko Tunique ""En Quête de silence"" : Taille - L","2","139.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1464","Yoko Tunique ""En Quête de silence"" : Taille - XL","3","139.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3187","Yoko Tunique ""Eau et Esprit du Bison"" : Taille - XP","1","139.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3188","Yoko Tunique ""Eau et Esprit du Bison"" : Taille - P","1","139.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3189","Yoko Tunique ""Eau et Esprit du Bison"" : Taille - M","0","139.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3190","Yoko Tunique ""Eau et Esprit du Bison"" : Taille - L","1","139.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3191","Yoko Tunique ""Eau et Esprit du Bison"" : Taille - XL","0","139.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1440","Yoko Tunique ""Gardiens de la Sagesse"" : Taille - XP","0","139.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1441","Yoko Tunique ""Gardiens de la Sagesse"" : Taille - P","1","139.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1442","Yoko Tunique ""Gardiens de la Sagesse"" : Taille - M","0","139.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1443","Yoko Tunique ""Gardiens de la Sagesse"" : Taille - L","0","139.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1444","Yoko Tunique ""Gardiens de la Sagesse"" : Taille - XL","1","139.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3312","K Smith T-Shirt ""L'Outre Mère"" : Taille - XP","1","89.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3313","K Smith T-Shirt ""L'Outre Mère"" : Taille - P","1","89.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3314","K Smith T-Shirt ""L'Outre Mère"" : Taille - M","1","89.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3315","K Smith T-Shirt ""L'Outre Mère"" : Taille - L","1","89.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3316","K Smith T-Shirt ""L'Outre Mère"" : Taille - XL","0","89.00"
"A08011-MSS0701NC0HA","898","Salvadore Tee for Men ""Whisper""","3332","Salvador Tee pour Homme ""Murmure"" : Taille - XP","1","89.00"
"A08011-MSS0701NC0HA","898","Salvadore Tee for Men ""Whisper""","3333","Salvador Tee pour Homme ""Murmure"" : Taille - P","1","89.00"
"A08011-MSS0701NC0HA","898","Salvadore Tee for Men ""Whisper""","3334","Salvador Tee pour Homme ""Murmure"" : Taille - M","1","89.00"
"A08011-MSS0701NC0HA","898","Salvadore Tee for Men ""Whisper""","3335","Salvador Tee pour Homme ""Murmure"" : Taille - L","1","89.00"
"A08011-MSS0701NC0HA","898","Salvadore Tee for Men ""Whisper""","3336","Salvador Tee pour Homme ""Murmure"" : Taille - XL","0","89.00"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3037","Robe Kate ""Soirée Glissant vers l'Automne"" : Taille - XP","1","169.00"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3038","Robe Kate ""Soirée Glissant vers l'Automne"" : Taille - P","2","169.00"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3039","Robe Kate ""Soirée Glissant vers l'Automne"" : Taille - M","0","169.00"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3040","Robe Kate ""Soirée Glissant vers l'Automne"" : Taille - L","1","169.00"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3041","Robe Kate ""Soirée Glissant vers l'Automne"" : Taille - XL","1","169.00"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3107","Robe Jeanne ""Temple de la Forêt"" : Taille - XP","1","149.00"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3108","Robe Jeanne ""Temple de la Forêt"" : Taille - P","0","149.00"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3109","Robe Jeanne ""Temple de la Forêt"" : Taille - M","1","149.00"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3110","Robe Jeanne ""Temple de la Forêt"" : Taille - L","1","149.00"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3111","Robe Jeanne ""Temple de la Forêt"" : Taille - XL","1","149.00"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2927","Cardigan Frida ""Gardiens de la Sagesse"" : Taille - XP","1","129.00"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2928","Cardigan Frida ""Gardiens de la Sagesse"" : Taille - P","1","129.00"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2929","Cardigan Frida ""Gardiens de la Sagesse"" : Taille - M","1","129.00"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2930","Cardigan Frida ""Gardiens de la Sagesse"" : Taille - L","1","129.00"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2931","Cardigan Frida ""Gardiens de la Sagesse"" : Taille - XL","1","129.00"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2942","Cardigan Frida ""Murmure"" : Taille - XP","1","129.00"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2943","Cardigan Frida ""Murmure"" : Taille - P","0","129.00"
